onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.001	PIN	lure_hard	860	1	target	target
58.1	3.002	SHIRT	targ_hard	1022	1	target	target
90	3.008	STICK	targ_easy	919	1	non-target	non-target
122	3.003	FLEET	targ_hard	976	1	non-target	non-target
154	3.003	PUMP	targ_easy	864	1	non-target	non-target
186	3.008	PAGE	targ_hard	889	1	non-target	non-target
218	3.001	HOOK	targ_easy	1441	1	target	target
250	3.004	PAINT	lure_hard	945	1	target	target
282	3.007	METAL	targ_hard	898	0	target	non-target
314	3.009	FERRY	lure_hard	1298	1	non-target	non-target
346	3.003	TRUCK	targ_hard	883	1	target	target
378	3.009	GOLF	lure_hard	883	1	non-target	non-target
410	3.005	DISTRICT	targ_hard	868	1	target	target
442	3.002	BOAT	targ_easy	852	1	target	target
474	3.009	FIDDLE	targ_easy	932	1	target	target
506	3.005	LUMBER	targ_hard	837	1	non-target	non-target
538	3.001	MAZE	targ_hard	853	1	target	target
570	3.001	FOSSIL	targ_easy	831	1	target	target
602	3.005	RADIO	lure_hard	822	1	target	target
634	3.003	CANOE	targ_easy	974	1	non-target	non-target
666	3.001	BLIZZARD	targ_easy	870	1	non-target	non-target
698	3.005	RAVINE	targ_hard	1320	0	non-target	target
730	3.002	BELL	targ_easy	1079	1	target	target
762	3.006	LAUNDRY	targ_easy	817	1	non-target	non-target
794	3.005	GLASS	targ_hard	977	1	target	target
