onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.516	HOOK	easy	887	1	midR	midR
35.6	2.516	MAZE	hard	993	1	midL	midL
57.6	2.516	ARMOR	omit	1069	1	midR	midR
79.6	2.515	BELL	easy	862	1	midL	midL
101.6	2.511	TEXTILE	omit	930	1	farL	farL
123.6	2.515	FLEET	hard	1126	1	farR	farR
145.6	2.516	GLASS	hard	2347	1	farR	farR
167.6	2.515	PYRAMID	omit	924	1	farL	farL
189.6	2.513	LAUNDRY	easy	1060	1	midR	midR
211.6	2.516	STEEL	omit	1255	1	midR	midR
233.6	2.519	FIDDLE	easy	1152	1	farL	farL
255.6	2.512	METAL	hard	1260	0	midR	midL
277.5	2.519	LUMBER	hard	1681	1	midL	midL
299.5	2.512	SACK	omit	1701	1	midL	midL
321.6	2.515	CANOE	easy	1377	1	farL	farL
343.6	2.515	STICK	easy	993	1	midL	midL
365.5	2.515	RAVINE	hard	1682	1	midR	midR
387.6	2.515	ROOT	omit	1168	1	midR	midR
409.5	2.512	EASEL	omit	927	1	midL	midL
431.6	2.516	BLIZZARD	easy	1879	1	midR	midR
453.5	2.515	PAGE	hard	1339	1	midL	midL
475.5	2.513	FOSSIL	easy	977	1	farL	farL
497.5	2.512	TRUCK	hard	920	1	midL	midL
519.5	2.512	CHAIN	omit	1041	1	farL	farL
541.5	2.517	DISTRICT	hard	1578	1	farL	farL
563.5	2.513	PUMP	easy	1162	1	farR	farR
585.5	2.517	WHEEL	omit	1249	1	farL	farL
607.5	2.516	BOAT	easy	1252	1	farL	farL
629.5	2.514	PATCH	omit	1146	1	midR	midR
651.5	2.513	SHIRT	hard	1211	1	farL	farL
