onset	duration	stim	cond	rt	acc	resp	cresp
26.2	3.006	RAINDROP	targ_easy	2701	1	non-target	non-target
58.1	3.003	CHISEL	lure_hard	1818	0	non-target	target
90	3.002	TART	lure_hard	1716	1	non-target	non-target
122.1	3.002	MONSOON	targ_hard	1611	0	non-target	target
154	3.008	METAL	targ_easy	1389	1	non-target	non-target
186	3.006	RECORD	targ_hard	1293	1	non-target	non-target
218	3.003	ATOM	lure_hard	1422	1	target	target
250	3.004	FERRY	lure_easy	1485	1	non-target	non-target
282	3	REGISTER	targ_easy	1583	1	non-target	non-target
314	3.008	CLUB	lure_easy	1550	1	non-target	non-target
346	3.01	CLOAK	lure_easy	1720	1	non-target	non-target
378	3.009	DECK	lure_easy	1407	1	target	target
410	3.01	SACK	lure_easy	1472	1	non-target	non-target
442	3.005	SPEAR	targ_easy	1169	1	non-target	non-target
474	3.006	COACH	lure_hard	1778	1	target	target
506	3.007	FOIL	lure_hard	1474	1	target	target
538	3.001	NOZZLE	targ_easy	1641	1	non-target	non-target
570	3.001	BARREL	lure_easy	2315	0	non-target	target
602	3.004	PIANO	targ_easy	1596	1	target	target
634	3.004	BLIZZARD	targ_hard	1979	1	target	target
666	3	WAGON	targ_hard	1644	1	non-target	non-target
698	3.007	DIAL	targ_hard	1387	1	target	target
730	3.009	FRAME	lure_hard	1285	0	target	non-target
762	3.006	ELBOW	lure_easy	1182	0	target	non-target
794	3.01	BRIDGE	targ_hard	1309	1	target	target
826	3.001	LIGHT	targ_easy	1502	1	non-target	non-target
858	3	STAPLE	lure_hard	1614	1	target	target
890	3.004	COMPASS	lure_hard	1535	1	target	target
922	3.007	MATTRESS	targ_easy	1832	0	non-target	target
954	3.004	HOOK	targ_hard	1889	1	target	target
986	3.006	FORT	lure_easy	1585	0	non-target	target
1018	3.001	BRACELET	targ_hard	2089	0	non-target	target
