onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.512	BUCKLE	easy	n/a	0	n/a	farR
35.6	2.516	CRANE	omit	n/a	0	n/a	farL
57.6	2.517	PUMP	hard	1434	1	midL	midL
79.6	2.517	CLOSET	easy	2306	0	midR	midL
101.6	2.517	MAST	hard	1921	1	farR	farR
123.6	2.512	RATTLE	omit	1503	1	midR	midR
145.6	2.516	BASKET	easy	1999	1	farR	farR
167.6	2.513	SPONGE	omit	1161	1	farL	farL
189.6	2.512	COAT	hard	1568	1	midR	midR
211.6	2.527	CAPITOL	hard	2055	1	farR	farR
233.6	2.512	THREAD	easy	1153	1	midR	midR
255.6	2.516	DISTRICT	omit	1829	1	midR	midR
277.6	2.516	TEAR	hard	2277	0	farL	midL
299.5	2.512	PADDLE	easy	n/a	0	n/a	farL
321.6	2.515	CURTAIN	omit	2445	1	midR	midR
343.6	2.513	BANNER	hard	n/a	0	n/a	midR
365.6	2.515	EASEL	easy	1958	1	midL	midL
387.6	2.516	GIFT	omit	795	1	midL	midL
409.6	2.512	JOURNAL	easy	1539	1	midL	midL
431.5	2.516	MOON	hard	888	1	midR	midR
453.5	2.513	CRAYON	omit	n/a	0	n/a	farR
475.5	2.518	RUST	hard	2072	1	farR	farR
497.5	2.515	BADGE	easy	1350	1	midL	midL
519.5	2.513	BRUSH	omit	966	1	midR	midR
541.5	2.512	PHOTO	easy	1717	1	midL	midL
563.5	2.512	FLEET	omit	1517	1	farR	farR
585.5	2.518	MALLET	hard	1434	1	midR	midR
607.5	2.517	CARD	easy	1799	1	farL	farL
629.5	2.512	CITY	hard	1093	1	farL	farL
651.5	2.513	MATCH	omit	2168	0	farR	midR
