onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.007	TEAR	targ_hard	1139	1	non-target	non-target
58	3.006	PUMP	targ_hard	1284	0	non-target	target
90.1	3.004	CAPITOL	targ_hard	948	0	non-target	target
122	3	MALLET	targ_hard	982	1	target	target
154	3.001	BADGE	targ_easy	870	1	target	target
186	3.008	WIRE	lure_hard	1039	1	target	target
218.1	3.006	MAST	targ_hard	990	1	target	target
250	3.001	ISLAND	lure_hard	1504	0	non-target	target
282	3	BRAKE	lure_hard	864	1	target	target
314.1	3.005	MOON	targ_hard	815	1	target	target
346	3.007	RUST	targ_hard	1346	1	non-target	non-target
378	3.009	BASKET	targ_easy	1114	1	target	target
410.1	3.003	SWORD	lure_hard	936	0	target	non-target
442	3.004	COAT	targ_hard	1586	1	non-target	non-target
474	3.002	CARD	targ_easy	1347	1	non-target	non-target
506	3.001	PADDLE	targ_easy	1451	1	non-target	non-target
538	3.01	CLOSET	targ_easy	1164	1	non-target	non-target
570	3.004	BUCKLE	targ_easy	1740	1	target	target
602	3.007	PHOTO	targ_easy	1212	1	target	target
634	3.004	BANNER	targ_hard	1597	1	non-target	non-target
666	3.003	JOURNAL	targ_easy	1127	1	non-target	non-target
698	3.001	CITY	targ_hard	1502	0	non-target	target
730	3.003	CABLE	lure_hard	1382	0	non-target	target
762	3.002	EASEL	targ_easy	1208	1	target	target
794	3.003	THREAD	targ_easy	1064	1	non-target	non-target
