onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.516	GRAVEL	hard	2424	1	farL	farL
35.6	2.515	FLOOD	omit	n/a	0	n/a	farL
57.6	2.513	ELBOW	easy	1773	0	midL	midR
79.5	2.516	HURDLE	hard	1624	0	farL	midR
101.6	2.515	PLANE	omit	902	1	farR	farR
123.6	2.516	CLUB	easy	1589	1	midL	midL
145.6	2.516	THREAD	hard	1585	1	farR	farR
167.6	2.514	SAIL	easy	1978	1	farL	farL
189.6	2.515	MOON	omit	1657	1	farL	farL
211.6	2.517	PENNY	easy	1563	0	midR	midL
233.6	2.512	AXLE	hard	1272	1	farR	farR
255.5	2.514	EARTHQUAKE	omit	1623	1	midR	midR
277.5	2.512	STICK	hard	1760	1	midL	midL
299.5	2.518	DECK	omit	949	1	midR	midR
321.5	2.514	PLANK	easy	1764	0	midL	farL
343.5	2.515	MAZE	hard	1244	1	farL	farL
365.5	2.512	BANNER	easy	1413	1	midL	midL
387.5	2.517	NAIL	omit	893	1	farR	farR
409.5	2.515	TRUCK	hard	2043	0	midR	midL
431.5	2.515	POLISH	omit	n/a	0	n/a	farR
453.5	2.516	CORD	easy	n/a	0	n/a	midL
475.5	2.517	PHONE	easy	1332	1	midR	midR
497.5	2.512	OUTLET	hard	1611	1	farR	farR
519.5	2.528	GOLF	omit	1656	1	midR	midR
541.5	2.517	TRACTOR	omit	864	1	farR	farR
563.5	2.518	BRASS	easy	1030	1	midL	midL
585.5	2.516	STAKE	hard	1261	1	midL	midL
607.5	2.518	PATCH	easy	604	1	farL	farL
629.5	2.515	LEAD	omit	1022	1	farL	farL
651.5	2.516	DOCK	hard	n/a	0	n/a	farR
