onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.516	TERRACE	omit	1373	1	midL	midL
35.6	2.515	LABEL	hard	1615	0	midR	midL
57.6	2.519	ATLAS	easy	1651	1	midL	midL
79.6	2.516	CARD	hard	761	1	farL	farL
101.6	2.516	MOUNTAIN	omit	980	1	midL	midL
123.5	2.514	SANDPAPER	easy	2363	0	midR	farR
145.6	2.519	CHASM	omit	2460	1	midL	midL
167.6	2.512	BADGE	hard	2592394	0	midL	farL
189.6	2.515	PHOTO	easy	2485	0	midL	farL
211.6	2.519	RECORD	hard	1101	1	midL	midL
233.6	2.518	CARBON	easy	1877	1	farR	farR
255.6	2.516	PIANO	omit	2596789	0	farL	midR
277.5	2.516	CLOSET	hard	1031	1	farL	farL
299.5	2.516	LEVER	easy	1228	1	midL	midL
321.5	2.515	HIGHWAY	omit	919	1	midL	midL
343.5	2.515	LEAD	easy	2119	1	midL	midL
365.5	2.515	BANNER	hard	2582964	1	midL	midL
387.5	2.517	FLOOD	omit	1597	1	midL	midL
409.5	2.511	HURDLE	easy	1732	1	farL	farL
431.5	2.516	DRUM	omit	1900	0	midR	farR
453.5	2.516	CINDER	hard	1805	1	midR	midR
475.5	2.515	STAR	omit	993	1	midR	midR
497.5	2.517	MATCH	hard	1792	1	farL	farL
519.5	2.516	SHELL	easy	2010	1	farR	farR
541.5	2.517	SOAP	hard	1514	1	farL	farL
563.5	2.511	PLANK	omit	2022	1	midR	midR
585.5	2.519	BUCKLE	easy	1802	0	farL	midR
607.5	2.516	SACK	hard	1012	1	midL	midL
629.5	2.515	QUILL	easy	1475	0	farL	midL
651.5	2.518	POUCH	omit	1599	1	midR	midR
