onset	duration	stim	cond	rt	acc	resp	cresp
26.2	3.008	SCREEN	lure_hard	2217	1	non-target	non-target
58.1	3.005	CLUB	targ_hard	2086	1	target	target
90	3.006	FERRY	lure_easy	1984	1	non-target	non-target
122.1	3.009	SPEAR	targ_easy	1935	1	non-target	non-target
154	3.01	CAPITOL	targ_easy	1600	1	target	target
186.1	3.005	STAKE	targ_hard	2264	1	target	target
218.1	3.005	BRUSH	lure_hard	2063	1	target	target
250	3.007	IODINE	lure_easy	1769	1	non-target	non-target
282	3.002	CHISEL	lure_hard	2273	1	non-target	non-target
314	3.005	CRANE	lure_easy	1411	1	target	target
346	3.006	APRON	targ_hard	1778	1	target	target
378	3.01	CIRCUIT	targ_easy	1619	1	non-target	non-target
410	3.01	LIGHT	lure_easy	2523	0	non-target	target
442	3.009	MARKET	lure_hard	2228	1	non-target	non-target
474	3.004	SCOUT	targ_easy	1708	1	non-target	non-target
506	3.009	CHAIN	targ_hard	1348	1	target	target
538	3.003	PIN	lure_easy	1877	1	non-target	non-target
570	3.006	RIDGE	targ_easy	1301	1	target	target
602	3.001	FOIL	lure_hard	1694	1	non-target	non-target
634	3.009	DEPOT	targ_hard	2078	1	target	target
666	3.008	CURB	lure_hard	1903	1	non-target	non-target
698	3.002	CARAVAN	targ_easy	1400	1	non-target	non-target
730	3.002	HAIRPIN	lure_easy	1393	1	target	target
762	3.005	RAIL	targ_hard	2592	1	non-target	non-target
794	3.006	PORTAL	targ_easy	1658	1	non-target	non-target
826	3.003	MAGAZINE	targ_hard	2945	1	target	target
858	3.005	ROCK	lure_easy	1330	1	target	target
890	3.01	TRACK	lure_hard	1115	1	target	target
922	3.009	SUBWAY	lure_hard	1907	1	non-target	non-target
954	3.007	PADDLE	lure_easy	1180	1	target	target
986	3.008	COAST	targ_easy	1667	1	non-target	non-target
1018	3.009	RAINBOW	targ_hard	1293	1	non-target	non-target
