onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.004	SOAP	targ_hard	1654	0	non-target	target
58	3.003	HURDLE	targ_easy	1097	1	non-target	non-target
90	3.004	MORNING	lure_hard	1745	0	target	non-target
122	3	IRON	lure_hard	2546	1	target	target
154.1	3.007	CINDER	targ_hard	1769	1	target	target
186	3.007	LEVER	targ_easy	1427	1	target	target
218	3.001	CARD	targ_hard	1187	1	target	target
250	3	CARBON	targ_easy	1123	1	target	target
282	3	MATCH	targ_hard	1356	1	non-target	non-target
314	3.006	BUCKLE	targ_easy	1660	1	target	target
346	3.004	LEAD	targ_easy	1301	1	target	target
378.1	3.001	SACK	targ_hard	1316	1	target	target
410	3.002	LABEL	targ_hard	1469	1	target	target
442	3.004	QUILL	targ_easy	1207	1	target	target
474	3.007	DIRT	lure_hard	1870	0	non-target	target
506	3.006	ATLAS	targ_easy	1334	1	non-target	non-target
538	3.006	TRACTOR	lure_hard	1312	1	target	target
570	3.004	RECORD	targ_hard	1247	0	target	non-target
602	3.007	BANNER	targ_hard	1561	1	non-target	non-target
634	3.003	PLANET	lure_hard	1400	1	non-target	non-target
666	3.004	SHELL	targ_easy	1442	1	target	target
698	3.01	BADGE	targ_hard	1530	1	target	target
730	3.01	SANDPAPER	targ_easy	1266	1	non-target	non-target
762	3.009	CLOSET	targ_hard	1203	1	target	target
794	3.004	PHOTO	targ_easy	1108	1	non-target	non-target
