onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.009	CLOSET	targ_hard	1398	0	non-target	target
58	3.004	PHOTO	targ_easy	1575	1	target	target
90.1	3.009	PLANET	lure_hard	2037	1	non-target	non-target
122	3.01	MORNING	lure_hard	1633	0	target	non-target
154	3	BANNER	targ_hard	1457	1	non-target	non-target
186	3.005	LEAD	targ_easy	1585	1	non-target	non-target
218	3.008	HURDLE	targ_easy	1233	1	non-target	non-target
250	3.01	CINDER	targ_hard	2202	1	target	target
282	3.008	SACK	targ_hard	1722	1	non-target	non-target
314	3.002	DIRT	lure_hard	1867	0	target	non-target
346	3.002	SANDPAPER	targ_easy	1347	1	target	target
378	3.004	LEVER	targ_easy	964	1	non-target	non-target
410	3.004	RECORD	targ_hard	1716	1	non-target	non-target
442	3.008	QUILL	targ_easy	1516	1	target	target
474	3.008	SOAP	targ_hard	1205	1	non-target	non-target
506	3.009	TRACTOR	lure_hard	2373	1	non-target	non-target
538	3.001	MATCH	targ_hard	1807	1	non-target	non-target
570	3.006	CARBON	targ_easy	1527	1	target	target
602	3.004	BADGE	targ_hard	1920	1	target	target
634	3.002	ATLAS	targ_easy	1848	1	target	target
666	3.006	IRON	lure_hard	1377	1	non-target	non-target
698	3.001	SHELL	targ_easy	1633	1	target	target
730	3.008	LABEL	targ_hard	1682	1	non-target	non-target
762	3.008	CARD	targ_hard	1569	1	non-target	non-target
794	3.002	BUCKLE	targ_easy	n/a	0	n/a	target
