onset	duration	stim	cond	rt	acc	resp	cresp
26.2	3.003	COAST	lure_hard	901	1	target	target
58	3.001	RUST	targ_easy	902	1	target	target
90	3.009	PADDLE	targ_hard	1570	1	target	target
122.1	3.006	MARKET	lure_hard	1101	1	non-target	non-target
154	3.009	MERCURY	targ_easy	932	1	target	target
186	3.01	SAWDUST	targ_hard	883	1	target	target
218	3.005	BUCKET	targ_hard	1331	1	non-target	non-target
250	3.001	COMPASS	targ_easy	723	1	target	target
282	3	FOREST	targ_easy	915	1	target	target
314	3.004	HILL	targ_hard	966	1	target	target
346	3	POWDER	lure_hard	1336	1	non-target	non-target
378	3.006	CLOSET	targ_hard	1047	1	non-target	non-target
410	3.002	TARGET	targ_easy	1077	1	target	target
442	3	FOAM	targ_easy	994	1	target	target
474	3.003	CAPITOL	targ_hard	773	1	target	target
506	3.007	CURTAIN	targ_easy	1343	1	non-target	non-target
538	3.002	SANDPAPER	targ_hard	1068	1	target	target
570	3.007	PICTURE	targ_hard	1172	1	non-target	non-target
602	3.006	RIDGE	lure_hard	846	1	target	target
634	3.008	DRILL	targ_easy	1151	1	non-target	non-target
666	3.005	LABEL	targ_easy	847	1	target	target
698	3.004	PLUG	targ_hard	1105	1	non-target	non-target
730	3.006	TICKET	lure_hard	1041	1	target	target
762	3.001	BRACELET	targ_hard	1024	0	target	non-target
794	3.001	MACHINE	targ_easy	872	1	non-target	non-target
