onset	duration	stim	cond	rt	acc	resp	cresp
26.2	3.005	GALLERY	lure_hard	1545	0	non-target	target
58.1	3.001	PUMP	targ_easy	1651	1	non-target	non-target
90.1	3.005	GIFT	targ_hard	1227	1	target	target
122.1	3.009	PATCH	lure_easy	1104	1	target	target
154	3.003	BOTTLE	targ_easy	1444	1	non-target	non-target
186	3.004	MIRROR	lure_easy	1543	1	non-target	non-target
218	3.005	PLANE	lure_hard	1629	1	target	target
250	3.004	STATUE	targ_hard	1120	1	target	target
282	3.006	COLUMN	targ_hard	1213	1	non-target	non-target
314	3.005	HOSE	lure_hard	835	1	target	target
346	3.007	RELIC	lure_easy	890	1	target	target
378	3.006	SPOKE	targ_easy	1516	1	non-target	non-target
410	3.009	ASHES	targ_easy	818	1	non-target	non-target
442	3.007	FLEET	targ_hard	2085	1	non-target	non-target
474	3.002	ANCHOR	lure_hard	954	1	target	target
506	3.003	RAIL	lure_easy	933	1	target	target
538	3.006	BUBBLE	lure_hard	1201	1	non-target	non-target
570	3.008	SPARK	targ_hard	1245	1	non-target	non-target
602	3.006	CHISEL	targ_easy	745	1	target	target
634	3.001	FERRY	lure_easy	973	1	non-target	non-target
666	3.004	RAKE	lure_easy	802	1	non-target	non-target
698	3.002	METAL	targ_hard	1027	1	non-target	non-target
730	3.002	CIRCUIT	lure_hard	1045	1	non-target	non-target
762	3.005	IODINE	targ_easy	858	1	target	target
794	3.002	RAMP	lure_easy	902	1	target	target
826	3.006	ATOM	targ_easy	790	1	non-target	non-target
858	3.009	ISSUE	targ_hard	1003	1	non-target	non-target
890	3.006	PELLET	lure_hard	1181	1	non-target	non-target
922	3.006	ESSAY	targ_easy	1089	1	non-target	non-target
954	3.004	ROOT	lure_hard	1697	1	non-target	non-target
986	3.003	COLLAR	targ_hard	1016	1	target	target
1018	3.009	WALLET	lure_easy	939	1	target	target
