onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.005	PICTURE	targ_hard	1637	1	target	target
58	3.007	MACHINE	targ_easy	929	1	target	target
90.1	3.008	RIDGE	lure_hard	1094	0	target	non-target
122	3.007	POWDER	lure_hard	1223	1	non-target	non-target
154	3.01	CAPITOL	targ_hard	1036	1	non-target	non-target
186	3.007	MERCURY	targ_easy	868	1	non-target	non-target
218	3	LABEL	targ_easy	1004	1	target	target
250	3.002	SAWDUST	targ_hard	1339	1	non-target	non-target
282	3.008	PADDLE	targ_hard	2210	1	non-target	non-target
314	3.008	MARKET	lure_hard	1084	1	non-target	non-target
346	3.005	RUST	targ_easy	827	1	non-target	non-target
378	3.008	TARGET	targ_easy	831	1	non-target	non-target
410	3.002	SANDPAPER	targ_hard	1238	1	target	target
442	3	COMPASS	targ_easy	1144	1	target	target
474	3.009	PLUG	targ_hard	1317	1	non-target	non-target
506	3.008	COAST	lure_hard	1345	1	non-target	non-target
538	3.008	CLOSET	targ_hard	941	1	non-target	non-target
570	3.01	CURTAIN	targ_easy	870	1	non-target	non-target
602	3.003	BRACELET	targ_hard	1098	1	non-target	non-target
634	3.001	FOAM	targ_easy	843	1	target	target
666	3.01	TICKET	lure_hard	971	1	target	target
698	3.005	DRILL	targ_easy	805	1	non-target	non-target
730	3.005	HILL	targ_hard	987	1	non-target	non-target
762	3.007	BUCKET	targ_hard	920	1	target	target
794	3.009	FOREST	targ_easy	979	1	non-target	non-target
