onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.512	BRACELET	easy	2188	1	farR	farR
35.6	2.515	CENT	hard	n/a	0	n/a	farL
57.6	2.516	STAPLE	omit	2566160	0	midR	farL
79.6	2.512	PARADE	hard	n/a	0	n/a	midL
101.6	2.519	CAPITOL	easy	1648	1	midR	midR
123.6	2.516	CANOE	omit	2200	1	farR	farR
145.6	2.516	NOTE	easy	n/a	0	n/a	farR
167.6	2.516	MORNING	omit	n/a	0	n/a	farL
189.6	2.516	DENT	hard	1712	1	farL	farL
211.5	2.514	SCOUT	easy	n/a	0	n/a	farL
233.6	2.513	PISTOL	hard	n/a	0	n/a	midL
255.5	2.513	GIFT	omit	2597624	0	farL	farR
277.6	2.516	LAUNDRY	omit	2490	1	midL	midL
299.5	2.517	CONE	hard	2203	1	farR	farR
321.6	2.517	CANYON	easy	1426	1	midR	midR
343.5	2.513	TICKET	omit	1296	1	midR	midR
365.5	2.513	MERCURY	hard	2017	1	farR	farR
387.5	2.511	STAKE	easy	2255	1	midR	midR
409.5	2.516	MUZZLE	hard	2404	0	farL	midL
431.5	2.512	TRIPOD	easy	n/a	0	n/a	farL
453.5	2.511	NICKEL	omit	2432	0	farR	midR
475.5	2.519	RELIC	omit	1213	1	farR	farR
497.5	2.516	SPOKE	hard	2341	1	midR	midR
519.5	2.514	STEEL	easy	n/a	0	n/a	midR
541.5	2.512	ACRE	easy	1747	1	midR	midR
563.5	2.512	FLAG	hard	1379	0	midR	farR
585.5	2.516	FIDDLE	omit	1891	0	farL	midL
607.5	2.514	ARMOR	easy	1661	1	farR	farR
629.5	2.512	SKETCH	omit	2642642	0	farL	farR
651.5	2.513	CARD	hard	n/a	0	n/a	farL
