onset	duration	stim	cond	rt	acc	resp	cresp
26.2	3.006	GATEWAY	targ_hard	1169	1	non-target	non-target
58.1	3.009	BOAT	lure_easy	1734	1	target	target
90.1	3.004	BANNER	targ_easy	1126	1	non-target	non-target
122.1	3.003	CLUB	lure_hard	1239	1	non-target	non-target
154.1	3.008	ELBOW	targ_hard	1079	1	non-target	non-target
186.1	3.01	DOCK	lure_easy	1104	1	non-target	non-target
218	3.007	CRAYON	targ_easy	1193	1	target	target
250.1	3.007	RACKET	lure_hard	1377	1	target	target
282.1	3.007	RAVINE	lure_hard	1041	1	non-target	non-target
314	3.003	CHROME	targ_easy	1715	1	non-target	non-target
346	3.006	GALLON	lure_easy	1019	1	target	target
378.1	3.009	PUPPET	targ_hard	1426	1	non-target	non-target
410	3.004	LEAD	lure_easy	1532	1	target	target
442	3.004	POLE	targ_hard	2060	1	target	target
474	3.004	BASIN	targ_easy	1141	1	target	target
506	3.003	TIRE	lure_hard	1229	0	non-target	target
538	3.001	RAINBOW	targ_easy	1550	1	non-target	non-target
570	3.004	LETTER	lure_easy	1565	0	target	non-target
602	3.005	WALLET	targ_hard	1118	1	target	target
634	3.004	BROOM	lure_hard	1695	1	non-target	non-target
666	3.008	COURT	targ_hard	1255	1	target	target
698	3.002	EASEL	lure_hard	1503	1	non-target	non-target
730	3.01	BADGE	lure_easy	1295	1	non-target	non-target
762	3.009	COACH	targ_easy	1368	1	target	target
794	3.009	PUTTY	targ_easy	1552	1	target	target
826	3.003	SHIELD	lure_easy	897	1	target	target
858	3.001	GRAVEL	targ_hard	1649	0	non-target	target
890	3.005	METAL	lure_hard	1554	1	non-target	non-target
922	3.008	MAZE	lure_easy	2219	1	non-target	non-target
954	3.006	RULER	lure_hard	1324	1	non-target	non-target
986	3.006	BRIDGE	targ_easy	1437	1	target	target
1018	3.008	CURB	targ_hard	1235	1	non-target	non-target
