onset	duration	stim	cond	rt	acc	resp	cresp
26.2	3.009	PURSE	targ_easy	1670	1	non-target	non-target
58	3.004	TRACTOR	lure_easy	1220	0	target	non-target
90	3.001	PAPER	lure_hard	1125	1	non-target	non-target
122	3.004	SHIELD	targ_hard	781	1	target	target
154	3.004	TRACK	lure_easy	1238	1	non-target	non-target
186	3.003	VAULT	targ_hard	862	1	non-target	non-target
218	3.001	PICK	lure_hard	1094	1	non-target	non-target
250	3.005	RACK	targ_easy	1343	1	target	target
282	3.002	PLANET	targ_easy	759	1	target	target
314.1	3.007	DRILL	targ_hard	1079	1	target	target
346.1	3.009	DRAIN	lure_easy	1103	1	non-target	non-target
378.1	3.001	STEEL	lure_hard	1056	1	non-target	non-target
410	3.004	CHISEL	lure_hard	978	1	non-target	non-target
442	3.008	JEEP	lure_easy	1122	1	target	target
474.1	3.007	CURTAIN	targ_hard	1345	1	non-target	non-target
506	3.004	HAIRPIN	targ_easy	852	1	target	target
538	3.005	CITY	lure_easy	571	1	target	target
570.1	3.008	DIAL	lure_hard	714	1	target	target
602	3.009	WIRE	targ_hard	948	1	non-target	non-target
634	3.005	MERCURY	targ_easy	1109	1	non-target	non-target
666	3.001	BUCKLE	lure_hard	894	0	non-target	target
698	3.009	MORNING	targ_hard	942	1	non-target	non-target
730	3.003	LEVER	lure_easy	1415	1	non-target	non-target
762	3.007	SAND	targ_easy	1246	1	non-target	non-target
794	3.002	PENNY	lure_easy	783	1	target	target
826	3.003	DRUM	targ_hard	935	1	non-target	non-target
858	3.008	BRACELET	lure_hard	1134	0	non-target	target
890	3.009	PUPPET	targ_easy	1233	1	non-target	non-target
922	3.004	HIGHWAY	lure_hard	954	1	non-target	non-target
954	3.008	MUZZLE	targ_easy	970	1	non-target	non-target
986	3.005	RACKET	targ_hard	955	1	target	target
1018	3.005	FOREST	lure_easy	1131	1	non-target	non-target
