onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.006	SHIRT	targ_hard	868	1	target	target
58	3.001	PICTURE	targ_easy	1253	1	non-target	non-target
90	3.004	STAPLE	lure_hard	765	1	non-target	non-target
122	3.001	NOTE	lure_hard	870	1	target	target
154	3.002	EXIT	targ_hard	863	0	non-target	target
186	3.004	LEVEL	targ_easy	1360	1	non-target	non-target
218.1	3.006	PIN	targ_hard	765	0	target	non-target
250	3.008	TEXTILE	targ_easy	959	1	target	target
282	3.004	POUCH	targ_easy	1096	1	target	target
314	3.009	SHELL	lure_hard	800	1	target	target
346	3.008	COACH	targ_hard	920	1	target	target
378	3.001	PLANE	targ_easy	1178	1	non-target	non-target
410	3.009	TRIPOD	targ_hard	755	0	target	non-target
442	3.002	MAGAZINE	lure_hard	915	1	target	target
474	3.008	CLOAK	targ_easy	1083	0	non-target	target
506	3.001	PLANK	targ_hard	1036	1	target	target
538	3.008	POLE	targ_easy	908	1	non-target	non-target
570	3.007	FIDDLE	targ_hard	901	1	target	target
602	3.007	SOAP	targ_easy	717	1	target	target
634	3.002	PENDULUM	targ_hard	1046	0	target	non-target
666	3.006	ARCTIC	targ_hard	846	0	non-target	target
698	3.009	ASHES	targ_easy	1102	1	non-target	non-target
730	3.009	CRANE	lure_hard	1093	1	target	target
762	3.008	PANEL	targ_hard	911	0	target	non-target
794	3.006	RUST	targ_easy	888	1	target	target
