onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.006	CARD	targ_hard	1446	1	non-target	non-target
58	3	TRIPOD	targ_easy	1327	1	non-target	non-target
90	3.001	PASTEL	lure_hard	1960	1	target	target
122.1	3.004	SPOKE	targ_hard	2175	0	non-target	target
154	3.001	ARMOR	targ_easy	1185	1	target	target
186.1	3.007	CONTRACT	lure_hard	1488	1	non-target	non-target
218	3.007	PISTOL	targ_hard	1210	1	target	target
250	3.007	STEEL	targ_easy	1090	1	target	target
282	3.005	SPARK	lure_hard	1810	1	non-target	non-target
314	3.009	PARADE	targ_hard	1419	1	non-target	non-target
346	3.002	STAKE	targ_easy	1164	1	target	target
378	3.009	CONE	targ_hard	1420	1	non-target	non-target
410	3.002	CAPITOL	targ_easy	1372	1	non-target	non-target
442	3.009	BRACELET	targ_easy	1420	1	non-target	non-target
474	3.004	FLAG	targ_hard	1269	1	target	target
506	3.005	MERCURY	targ_hard	2022	1	non-target	non-target
538	3.003	NOTE	targ_easy	1207	1	non-target	non-target
570	3.009	PILE	lure_hard	1559	1	non-target	non-target
602	3.009	CANYON	targ_easy	1536	1	non-target	non-target
634	3.001	MUZZLE	targ_hard	1168	1	target	target
666	3.008	ACRE	targ_easy	1417	1	target	target
698	3.001	CENT	targ_hard	1473	1	target	target
730	3.008	VAULT	lure_hard	1689	1	non-target	non-target
762	3.01	SCOUT	targ_easy	1482	1	target	target
794	3.01	DENT	targ_hard	1794	1	non-target	non-target
