onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.003	TEXTILE	targ_easy	1258	1	non-target	non-target
58	3.006	RAVINE	lure_hard	1980	1	target	target
90	3.002	STAKE	lure_easy	1572	1	non-target	non-target
122	3.001	NOTE	targ_hard	1005	1	target	target
154	3.003	PURSE	targ_easy	804	1	target	target
186	3.003	COUNCIL	targ_hard	965	1	target	target
218	3.004	GRAVEL	lure_easy	893	1	target	target
250	3.005	ROOT	lure_hard	814	1	target	target
282	3.001	MORNING	targ_hard	871	1	non-target	non-target
314	3.003	ARMOR	lure_easy	750	1	target	target
346	3.006	PUDDLE	lure_hard	1215	1	non-target	non-target
378	3.009	BASIN	targ_easy	1153	1	non-target	non-target
410	3.004	SKETCH	targ_hard	1089	1	target	target
442	3.006	CAPSULE	targ_easy	857	1	non-target	non-target
474	3.004	REGISTER	lure_easy	914	1	non-target	non-target
506	3.004	PAGE	lure_hard	977	1	target	target
538	3.003	DIAL	lure_easy	955	0	non-target	target
570	3.006	SPARK	lure_hard	835	1	non-target	non-target
602	3.008	CANYON	targ_easy	1084	0	target	non-target
634	3.002	NICKEL	targ_hard	1188	0	target	non-target
666	3.009	MATCH	targ_easy	989	1	target	target
698	3.002	MUZZLE	lure_hard	1053	1	non-target	non-target
730	3.01	TRACTOR	targ_hard	1013	1	target	target
762	3.003	CHAIN	lure_easy	2454	1	non-target	non-target
794	3.005	CLIFF	lure_easy	846	1	target	target
826	3.003	PYRAMID	lure_hard	926	1	target	target
858	3.001	FOREST	targ_hard	1239	1	target	target
890	3.006	PUZZLE	targ_easy	1183	1	target	target
922	3.004	MACHINE	targ_easy	n/a	0	n/a	target
954	3.003	CORK	lure_easy	1064	1	non-target	non-target
986	3.008	ATOM	targ_hard	1257	0	non-target	target
1018	3.007	ELBOW	lure_hard	258	1	non-target	non-target
