onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.002	CART	targ_hard	1218	1	non-target	non-target
58.1	3.006	RULER	lure_hard	874	1	non-target	non-target
90	3.002	POUCH	targ_easy	1084	1	target	target
122	3.005	MACHINE	targ_hard	996	1	non-target	non-target
154	3.003	PHOTO	targ_easy	1412	1	non-target	non-target
186	3.002	BASIN	lure_hard	1725	0	target	non-target
218	3.003	POWDER	targ_easy	813	1	target	target
250	3.004	MORNING	targ_hard	1709	1	target	target
282	3.005	DRILL	targ_easy	1534	1	non-target	non-target
314	3.004	GRAVEL	targ_hard	1566	1	target	target
346	3.002	RUNG	targ_easy	1848	1	non-target	non-target
378	3.004	FRAME	lure_hard	1991	0	target	non-target
410	3.006	TART	targ_hard	1080	1	non-target	non-target
442	3.008	DISC	targ_easy	1760	1	non-target	non-target
474	3.006	MAST	targ_hard	1232	1	target	target
506	3.004	CONE	lure_hard	978	1	non-target	non-target
538	3.002	ROPE	targ_easy	1754	1	non-target	non-target
570	3.008	CANOE	lure_hard	1002	1	non-target	non-target
602	3.008	DITCH	targ_hard	1906	1	target	target
634	3.003	STAKE	targ_hard	1074	1	target	target
666	3.001	PLANET	targ_easy	1316	1	target	target
698	3.003	DECK	targ_easy	773	1	target	target
730	3.006	BUCKLE	targ_hard	2013	1	non-target	non-target
762	3.005	CORK	targ_hard	1221	1	target	target
794	3.008	SUBWAY	targ_easy	2198	1	non-target	non-target
