onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.003	STAPLE	lure_hard	926	1	target	target
58	3.008	PICTURE	targ_easy	504	1	target	target
90.1	3.003	PIN	targ_hard	792	1	target	target
122	3.009	CRANE	lure_hard	961	1	non-target	non-target
154	3.008	CLOAK	targ_easy	754	1	target	target
186.1	3.007	SHIRT	targ_hard	1193	1	target	target
218.1	3.005	FIDDLE	targ_hard	1274	1	non-target	non-target
250	3.008	RUST	targ_easy	947	1	non-target	non-target
282	3.009	PLANK	targ_hard	788	1	target	target
314.1	3.003	PLANE	targ_easy	723	1	target	target
346	3.009	MAGAZINE	lure_hard	789	1	target	target
378	3.008	TEXTILE	targ_easy	1405	1	non-target	non-target
410	3.009	PENDULUM	targ_hard	1085	1	target	target
442.1	3.009	NOTE	lure_hard	877	1	non-target	non-target
474	3.002	EXIT	targ_hard	1471	1	target	target
506	3.008	LEVEL	targ_easy	1375	1	target	target
538	3.007	ARCTIC	targ_hard	911	1	target	target
570	3.007	POUCH	targ_easy	1224	1	non-target	non-target
602	3.001	PANEL	targ_hard	1024	1	non-target	non-target
634	3.007	SOAP	targ_easy	1504	1	target	target
666	3.007	COACH	targ_hard	1233	1	non-target	non-target
698	3.002	POLE	targ_easy	1361	1	target	target
730	3.01	SHELL	lure_hard	842	1	target	target
762	3.001	TRIPOD	targ_hard	818	1	target	target
794	3.002	ASHES	targ_easy	1035	1	target	target
