onset	duration	stim	cond	rt	acc	resp	cresp
14.2	2.514	ARCTIC	hard	1764	0	midR	farR
35.6	2.517	BASKET	omit	1750	1	farR	farR
57.6	2.515	PICTURE	easy	2029	1	farR	farR
79.6	2.516	PLANK	hard	1950	0	midR	midL
101.6	2.512	PLANE	easy	2609264	1	farL	farL
123.6	2.516	CLUB	omit	1174	1	midL	midL
145.6	2.527	PANEL	hard	1507	0	farL	midL
167.6	2.513	CENT	omit	2715725	1	midL	midL
189.5	2.516	POLE	easy	2192	0	midR	farR
211.5	2.516	GALLERY	omit	2104	0	farR	midL
233.6	2.513	FIDDLE	hard	2109	0	midR	farR
255.6	2.512	ASHES	easy	1741	1	midR	midR
277.6	2.514	PENDULUM	hard	2071	1	farL	farL
299.5	2.517	SOAP	easy	1273	1	farL	farL
321.6	2.513	GLOBE	omit	n/a	0	n/a	midL
343.6	2.512	PIN	hard	1975	0	midR	farL
365.5	2.518	PITCHFORK	omit	1594	0	farL	midL
387.5	2.516	RUST	easy	1435	1	midL	midL
409.5	2.516	WHEEL	omit	1360	1	farL	farL
431.5	2.513	TRIPOD	hard	2008	0	farR	farL
453.5	2.519	LEVEL	easy	1011	0	midL	midR
475.6	2.513	COACH	hard	1144	1	midL	midL
497.5	2.515	BELT	omit	2173	1	midR	midR
519.5	2.516	TEXTILE	easy	1216	1	farR	farR
541.5	2.516	SHIRT	hard	1349	1	midL	midL
563.5	2.516	PELLET	omit	2203	0	farR	midR
585.5	2.511	POUCH	easy	1153	1	farR	farR
607.5	2.512	EXIT	hard	2187	0	farR	midR
629.5	2.515	TRUCK	omit	2158	1	midR	midR
651.5	2.514	CLOAK	easy	n/a	0	n/a	farL
