onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.008	CHAIN	lure_hard	958	0	non-target	target
58.1	3.01	MERCURY	targ_hard	1112	1	target	target
90.1	3.007	LENS	targ_easy	1017	1	target	target
122.1	3.008	CARAVAN	targ_hard	1313	1	target	target
154.1	3.008	PEBBLE	targ_hard	2138	0	non-target	target
186	3.008	CURB	targ_easy	1787	1	non-target	non-target
218.1	3.008	TUNNEL	lure_hard	1235	1	non-target	non-target
250	3.003	DRUM	targ_easy	1492	0	non-target	target
282	3.01	FORT	targ_easy	637	1	target	target
314.1	3.007	BLIZZARD	targ_easy	836	1	target	target
346	3.008	PLANE	targ_easy	1334	1	target	target
378	3.005	PUTTY	targ_hard	1270	1	non-target	non-target
410	3.004	PILE	targ_easy	1230	0	target	non-target
442	3.01	MALLET	targ_hard	887	1	non-target	non-target
474	3.004	CLOTH	targ_hard	1054	1	non-target	non-target
506	3.005	DRAIN	targ_easy	n/a	0	n/a	target
538	3.01	PENDULUM	lure_hard	951	1	non-target	non-target
570	3.006	MORNING	targ_easy	1496	0	target	non-target
602	3.009	JOURNAL	lure_hard	1264	0	non-target	target
634	3.009	FOREST	targ_hard	961	0	non-target	target
666	3.007	RELIC	lure_hard	1050	1	non-target	non-target
698	3.006	PUZZLE	targ_hard	1097	0	target	non-target
730	3.002	TERRACE	targ_hard	1571	0	non-target	target
762	3.002	PAINT	targ_easy	962	1	target	target
794	3.001	POLE	targ_hard	995	1	non-target	non-target
