onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.01	CLOTH	targ_hard	1257	1	non-target	non-target
58.1	3.007	DRAIN	targ_easy	858	1	non-target	non-target
90.1	3.001	PUZZLE	targ_hard	539	1	target	target
122.1	3.007	TERRACE	targ_hard	1171	1	target	target
154	3.005	LENS	targ_easy	1269	1	non-target	non-target
186.1	3.003	PUTTY	targ_hard	1068	1	non-target	non-target
218	3.005	PENDULUM	lure_hard	998	1	non-target	non-target
250.1	3.009	PEBBLE	targ_hard	1052	0	target	non-target
282	3.01	BLIZZARD	targ_easy	1167	1	non-target	non-target
314	3.008	MALLET	targ_hard	1182	1	non-target	non-target
346	3.002	PILE	targ_easy	1207	1	non-target	non-target
378	3.006	FOREST	targ_hard	1191	1	non-target	non-target
410	3.006	FORT	targ_easy	896	1	non-target	non-target
442	3.004	MERCURY	targ_hard	1137	0	target	non-target
474	3.005	PAINT	targ_easy	1016	1	non-target	non-target
506	3.004	JOURNAL	lure_hard	977	1	non-target	non-target
538	3.001	DRUM	targ_easy	849	1	target	target
570	3.001	CURB	targ_easy	1002	1	target	target
602	3.009	RELIC	lure_hard	1266	1	non-target	non-target
634	3.007	CHAIN	lure_hard	1507	1	non-target	non-target
666	3.005	TUNNEL	lure_hard	988	1	target	target
698	3.003	MORNING	targ_easy	652	1	target	target
730	3.003	CARAVAN	targ_hard	1372	1	non-target	non-target
762	3.002	PLANE	targ_easy	1014	1	target	target
794	3.002	POLE	targ_hard	934	1	target	target
