onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.517	PITCHFORK	omit	1412	0	farR	farL
35.6	2.513	PEBBLE	hard	1712	0	farL	midL
57.5	2.513	BLIZZARD	easy	2353	0	farL	midL
79.6	2.515	DRAIN	easy	2040	1	midR	midR
101.6	2.511	PUTTY	hard	2054	1	midR	midR
123.6	2.512	WAGON	omit	2198	0	farL	midR
145.5	2.516	CURB	easy	2403	1	farL	farL
167.6	2.516	FOREST	hard	2183	1	midL	midL
189.6	2.516	COAL	omit	1969	0	farL	midR
211.5	2.513	CIRCUIT	omit	1970	1	midR	midR
233.5	2.515	CARAVAN	hard	2274	1	farR	farR
255.5	2.516	LENS	easy	1218	0	midL	midR
277.5	2.518	MERCURY	hard	844	1	farR	farR
299.5	2.519	SACK	omit	1814	0	farR	midL
321.5	2.515	DRUM	easy	1146	1	midL	midL
343.5	2.515	FLEET	omit	1151	1	midL	midL
365.5	2.516	PLANE	easy	1447	1	farR	farR
387.5	2.513	MALLET	hard	2027	1	midL	midL
409.5	2.515	PILE	easy	1380	1	farR	farR
431.5	2.516	CLOTH	hard	1736	1	midL	midL
453.5	2.516	DRILL	omit	1208	1	midR	midR
475.5	2.516	PUZZLE	hard	984	1	midR	midR
497.5	2.516	PAINT	easy	1225	1	midR	midR
519.5	2.516	PASTEL	omit	1849	0	midR	farR
541.5	2.513	MORNING	easy	2239	0	farL	farR
563.5	2.516	TERRACE	hard	1018	1	farR	farR
585.5	2.516	BOAT	omit	1698	1	farL	farL
607.5	2.516	FORT	easy	1575	0	midR	farR
629.5	2.518	TRACK	omit	1131	1	midR	midR
651.5	2.512	POLE	hard	2087	0	midR	farR
