onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.006	STAPLE	targ_hard	1049	1	non-target	non-target
58	3.01	STATUE	lure_hard	1277	1	non-target	non-target
90	3.007	DIRT	targ_easy	1062	1	non-target	non-target
122	3.01	POWDER	lure_hard	861	1	target	target
154	3.009	BASIN	targ_easy	982	1	target	target
186	3.007	BANNER	targ_hard	887	1	non-target	non-target
218	3.004	PICTURE	lure_hard	1110	1	target	target
250	3.006	RACK	targ_hard	918	1	non-target	non-target
282	3.01	PARADE	targ_easy	864	1	target	target
314	3.001	HILL	targ_hard	911	0	target	non-target
346	3.007	PHOTO	lure_hard	921	1	non-target	non-target
378	3.002	SHOVEL	targ_easy	881	1	target	target
410	3.006	TEXTILE	targ_easy	978	1	target	target
442	3.005	PYRAMID	targ_hard	1282	1	non-target	non-target
474	3.008	RULER	lure_hard	970	1	target	target
506	3.007	SAWDUST	targ_hard	1244	1	target	target
538	3.002	TRUCK	targ_easy	763	1	target	target
570	3.009	CHASM	targ_hard	931	1	target	target
602	3.004	PARK	targ_easy	805	1	non-target	non-target
634	3.007	HIGHWAY	targ_hard	1021	1	non-target	non-target
666	3.002	OUTLET	targ_easy	782	1	target	target
698	3.009	MACHINE	targ_easy	1277	1	non-target	non-target
730	3.002	PERMIT	targ_hard	885	1	target	target
762	3.001	SPEAR	targ_hard	1014	1	non-target	non-target
794	3.001	FLOOD	targ_easy	862	1	target	target
