onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.004	BROOM	targ_hard	1147	1	non-target	non-target
58	3.01	BASIN	lure_hard	1064	1	non-target	non-target
90	3.001	PHOTO	targ_easy	913	1	non-target	non-target
122	3.006	QUILL	lure_easy	1049	1	target	target
154	3.003	SPEAR	lure_hard	1138	1	non-target	non-target
186.1	3.01	NOTE	targ_easy	1369	1	non-target	non-target
218	3.004	TART	targ_hard	1171	1	target	target
250	3.002	JOURNAL	lure_easy	1084	1	non-target	non-target
282	3.005	MIRROR	targ_hard	1020	1	non-target	non-target
314	3.002	CANDLE	lure_easy	1044	1	target	target
346	3.009	PAGE	targ_easy	1013	1	target	target
378	3.006	WALLET	lure_hard	909	1	non-target	non-target
410	3.005	COAT	targ_easy	1182	1	non-target	non-target
442	3.003	MONSOON	lure_hard	1238	1	non-target	non-target
474	3.007	TEXTILE	targ_hard	1255	1	target	target
506	3.005	BELT	lure_easy	2031	0	non-target	target
538	3.005	PARADE	lure_hard	1304	1	target	target
570	3.009	SKETCH	targ_easy	1104	1	non-target	non-target
602	3.007	PHONE	targ_hard	1041	1	target	target
634	3.01	ROAD	lure_easy	993	1	target	target
666	3.005	SOCKET	targ_easy	1009	1	non-target	non-target
698	3.007	PENDULUM	targ_hard	825	1	non-target	non-target
730	3.004	ARROW	lure_easy	923	1	target	target
762	3.008	WIRE	lure_hard	1091	1	target	target
794	3.002	MUZZLE	lure_easy	924	1	target	target
826	3.01	DENT	targ_easy	820	1	target	target
858	3.001	TRIPOD	lure_hard	1013	1	non-target	non-target
890	3.002	BATON	targ_hard	1493	1	non-target	non-target
922	3.009	LENS	targ_easy	982	1	non-target	non-target
954	3.009	MAST	lure_hard	1773	1	target	target
986	3.006	FOAM	targ_hard	1142	1	target	target
1018	3.004	RIDGE	lure_easy	1119	1	non-target	non-target
