onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.009	NICKEL	lure_hard	911	1	non-target	non-target
58	3.005	SAND	targ_hard	945	1	target	target
90	3.01	CLOAK	targ_easy	993	1	non-target	non-target
122.1	3.001	ESSAY	targ_easy	1016	1	non-target	non-target
154.1	3.005	FLAG	targ_hard	1161	1	non-target	non-target
186	3.004	STEEL	lure_hard	954	1	non-target	non-target
218	3.002	BRIDGE	targ_easy	1035	1	target	target
250	3.001	TRACK	targ_hard	1459	1	target	target
282	3.007	SUDS	targ_hard	1019	1	target	target
314	3.006	RADIO	targ_easy	876	1	non-target	non-target
346	3.001	PLANK	targ_easy	924	1	target	target
378	3.005	ARMOR	targ_hard	813	1	non-target	non-target
410	3.01	PISTOL	targ_hard	1197	1	non-target	non-target
442	3.005	PUMP	targ_easy	1117	1	target	target
474	3	COLUMN	lure_hard	1167	1	target	target
506	3.009	RATTLE	targ_hard	1095	1	non-target	non-target
538	3.002	CHAIN	targ_easy	1056	1	non-target	non-target
570	3.001	RUST	targ_hard	1327	1	non-target	non-target
602	3.006	DITCH	targ_easy	1528	1	target	target
634	3.001	GOLF	lure_hard	1032	1	target	target
666	3.01	POLE	targ_easy	1256	1	target	target
698	3.007	BOTTLE	targ_hard	904	1	non-target	non-target
730	3.008	RUNG	targ_easy	1394	1	target	target
762	3.004	BRAKE	lure_hard	843	1	non-target	non-target
794	3.002	EASEL	targ_hard	1187	1	target	target
