onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.008	POUCH	targ_easy	1222	1	non-target	non-target
58	3.007	MORNING	targ_hard	1058	1	non-target	non-target
90	3.007	CART	targ_hard	859	1	non-target	non-target
122	3.007	PLANET	targ_easy	906	1	non-target	non-target
154	3	SUBWAY	targ_easy	1812	1	non-target	non-target
186.1	3.004	BASIN	lure_hard	1362	1	target	target
218	3.008	STAKE	targ_hard	989	1	target	target
250	3.005	CORK	targ_hard	996	1	target	target
282	3.006	ROPE	targ_easy	1078	1	non-target	non-target
314	3.007	DECK	targ_easy	1062	1	non-target	non-target
346	3.007	MAST	targ_hard	1253	1	target	target
378	3.004	FRAME	lure_hard	1543	1	target	target
410	3.005	DITCH	targ_hard	1310	1	target	target
442	3.004	DISC	targ_easy	1056	1	target	target
474	3.009	CONE	lure_hard	1152	1	target	target
506	3.005	CANOE	lure_hard	985	1	target	target
538	3.006	POWDER	targ_easy	889	1	target	target
570	3.009	BUCKLE	targ_hard	994	1	target	target
602	3.004	DRILL	targ_easy	1786	1	non-target	non-target
634	3.004	TART	targ_hard	2059	0	non-target	target
666	3.001	RUNG	targ_easy	1843	1	non-target	non-target
698	3.007	GRAVEL	targ_hard	2123	0	non-target	target
730	3.005	MACHINE	targ_hard	1172	0	non-target	target
762	3.008	PHOTO	targ_easy	1140	1	non-target	non-target
794	3.009	RULER	lure_hard	1013	1	non-target	non-target
