onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.004	IRON	lure_easy	1596	0	target	non-target
58	3.003	RADIO	targ_easy	1545	1	non-target	non-target
90	3.008	DRAIN	lure_hard	1417	1	target	target
122	3.009	DISTRICT	targ_hard	1306	1	non-target	non-target
154	3.006	PASTEL	lure_hard	1658	0	target	non-target
186	3.004	NICKEL	targ_easy	1779	0	target	non-target
218	3.004	STICK	lure_easy	1563	1	target	target
250	3.001	GLOBE	targ_hard	891	1	non-target	non-target
282	3.007	PHONE	lure_easy	1164	1	target	target
314	3.003	BLIZZARD	targ_easy	1156	1	target	target
346	3.002	HURDLE	lure_hard	1309	0	non-target	target
378	3.001	BOLT	targ_hard	1349	1	target	target
410	3.007	SWORD	lure_hard	2125	1	non-target	non-target
442	3.004	BOAT	targ_easy	1351	1	target	target
474	3.009	LIGHT	targ_hard	1438	1	target	target
506	3.009	LETTER	lure_easy	991	1	target	target
538	3.008	MATTRESS	targ_hard	983	1	non-target	non-target
570	3.008	STAPLE	targ_easy	2057	1	non-target	non-target
602	3.008	PYRAMID	lure_hard	1232	1	target	target
634	3.004	PISTOL	lure_easy	1401	1	target	target
666	3.009	CLOAK	targ_hard	1722	1	non-target	non-target
698	3.001	SPOKE	lure_hard	1225	1	target	target
730	3.006	ROOT	lure_easy	1547	1	non-target	non-target
762	3	WIRE	targ_easy	1003	1	target	target
794	3.006	WAGON	targ_hard	1995	1	target	target
826	3.008	TIMBER	lure_hard	1700	1	non-target	non-target
858	3.004	ESSAY	lure_easy	2245	1	non-target	non-target
890	3.006	HILL	targ_easy	1782	1	non-target	non-target
922	3	MARKET	targ_hard	1549	1	target	target
954	3.009	ISSUE	lure_easy	1495	1	target	target
986	3.01	IODINE	targ_easy	1998	0	non-target	target
1018	3.001	EASEL	lure_hard	1502	1	target	target
