onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.01	BUCKET	lure_hard	861	1	target	target
58	3.007	BANNER	targ_easy	805	1	non-target	non-target
90.1	3.002	STICK	targ_hard	1004	1	target	target
122	3	SAIL	targ_easy	725	1	target	target
154	3.01	OUTLET	targ_hard	748	1	non-target	non-target
186	3.003	BRASS	targ_easy	781	1	target	target
218	3.007	GRAVEL	targ_hard	1097	1	non-target	non-target
250	3	CLUB	targ_easy	760	1	target	target
282	3.006	HURDLE	targ_hard	896	1	non-target	non-target
314	3.008	TRUCK	targ_hard	1801	0	non-target	target
346	3.004	PLANK	targ_easy	934	1	non-target	non-target
378	3.01	DOCK	targ_hard	757	1	non-target	non-target
410	3.01	ELBOW	targ_easy	767	1	target	target
442	3.006	AXLE	targ_hard	906	0	non-target	target
474	3.007	PATCH	targ_easy	773	1	non-target	non-target
506	3.007	STAR	lure_hard	815	1	target	target
538	3.007	MAZE	targ_hard	639	1	non-target	non-target
570	3.008	CORK	lure_hard	1011	1	target	target
602	3	CORD	targ_easy	758	1	target	target
634	3.009	PENNY	targ_easy	1152	1	non-target	non-target
666	3.002	STAKE	targ_hard	797	1	target	target
698	3.008	BASKET	lure_hard	708	1	target	target
730	3.009	THREAD	targ_hard	729	1	non-target	non-target
762	3.002	PHONE	targ_easy	921	1	target	target
794	3.007	MATCH	lure_hard	824	1	target	target
