onset	duration	stim	cond	rt	acc	resp	cresp
26.2	3	BASKET	targ_easy	1785	1	target	target
58.1	3.007	TEXTILE	lure_easy	1670	1	target	target
90.1	3.005	SHOVEL	targ_hard	1302	1	target	target
122.1	3	BUBBLE	lure_hard	1287	0	non-target	target
154	3.005	SUDS	lure_hard	1552	1	non-target	non-target
186.1	3.004	PLANE	targ_hard	1583	1	target	target
218	3.003	CITY	targ_easy	1369	0	non-target	target
250	3.008	ELBOW	lure_easy	1314	0	target	non-target
282	3	PUZZLE	lure_easy	1641	1	target	target
314	3.009	COLUMN	lure_hard	1266	1	non-target	non-target
346	3.002	PUPPET	targ_easy	1635	1	target	target
378	3.007	FLAG	targ_hard	1363	1	target	target
410	3.004	MAST	lure_easy	n/a	0	n/a	target
442.1	3.007	ACRE	targ_hard	1138	1	target	target
474	3.001	BRUSH	targ_easy	2101	1	non-target	non-target
506	3.004	REGISTER	lure_hard	2172	1	target	target
538	3.007	CARD	lure_easy	1853	1	non-target	non-target
570	3.01	OUTLET	lure_hard	1437	1	non-target	non-target
602	3.003	RADIO	targ_easy	1262	1	non-target	non-target
634	3.01	CHART	targ_hard	1406	0	non-target	target
666	3.007	COLLAR	targ_hard	2655	0	target	non-target
698	3.008	BUCKLE	lure_hard	1376	1	non-target	non-target
730	3.006	SAWDUST	lure_easy	1201	1	non-target	non-target
762	3.01	SUBWAY	targ_easy	1297	1	target	target
794	3.002	FOIL	targ_easy	1168	1	target	target
826	3.005	CLOAK	targ_hard	217	1	target	target
858	3.002	NAIL	lure_hard	1226	1	target	target
890	3.004	CYCLONE	lure_easy	947	1	target	target
922	3.001	SACK	lure_easy	1155	1	target	target
954	3.001	HAIRPIN	lure_hard	1026	1	target	target
986	3.006	POLISH	targ_hard	1364	1	target	target
1018	3.009	MACHINE	targ_easy	1124	1	non-target	non-target
