onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.009	OCEAN	targ_hard	964	1	non-target	non-target
58	3.004	ISSUE	lure_hard	966	1	non-target	non-target
90.1	3.007	TRACK	targ_easy	1526	1	target	target
122	3.003	BRACELET	lure_hard	1991	1	target	target
154.1	3.004	PISTOL	targ_easy	1079	1	non-target	non-target
186.1	3.001	CRAYON	targ_hard	879	1	non-target	non-target
218	3.004	LETTER	lure_hard	865	1	non-target	non-target
250.1	3.006	PUMP	targ_easy	2072	1	target	target
282.1	3.006	CHROME	targ_hard	928	0	target	non-target
314	3.003	PICK	lure_hard	946	1	target	target
346.1	3.009	ROAD	targ_easy	1113	1	non-target	non-target
378	3.01	RAMP	targ_hard	1491	0	target	non-target
410	3.003	STAPLE	targ_easy	1099	1	target	target
442	3.001	SHIELD	targ_hard	1644	0	non-target	target
474	3.002	CART	targ_easy	n/a	0	n/a	target
506.1	3.006	POLE	targ_hard	1787	1	non-target	non-target
538	3.001	ARMOR	lure_hard	1508	0	non-target	target
570	3.003	DECK	targ_hard	1349	1	target	target
602	3.007	PILE	targ_easy	1254	1	non-target	non-target
634	3	PURSE	targ_hard	1046	1	target	target
666	3.005	SPARK	targ_easy	n/a	0	n/a	target
698	3.006	MATCH	targ_hard	1128	1	target	target
730	3.006	GALLERY	targ_easy	1193	1	target	target
762	3.006	SKETCH	targ_easy	1497	1	target	target
794	3.006	BELT	targ_hard	832	1	non-target	non-target
