onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.514	COLUMN	easy	n/a	0	n/a	midL
35.6	2.516	SPOKE	omit	2569964	1	farR	farR
57.6	2.516	BRIDGE	hard	n/a	0	n/a	midL
79.6	2.516	COAL	easy	2043	1	midL	midL
101.6	2.516	DOME	omit	1245	1	farR	farR
123.6	2.515	REGISTER	hard	1821	0	midR	midL
145.6	2.514	CENT	omit	n/a	0	n/a	farR
167.6	2.516	FOREST	hard	n/a	0	n/a	midL
189.5	2.515	BRUSH	easy	1959	1	farR	farR
211.6	2.516	DIAL	hard	1775	1	farL	farL
233.5	2.511	THREAD	easy	1163	1	midR	midR
255.5	2.512	PENDULUM	omit	1580	1	midR	midR
277.5	2.513	SHOVEL	omit	1629	1	farR	farR
299.5	2.513	LETTER	hard	2118	1	farL	farL
321.5	2.513	LENS	easy	1318	1	midL	midL
343.5	2.518	MAST	easy	1313	1	farR	farR
365.5	2.513	TAPE	hard	n/a	0	n/a	midR
387.5	2.518	ROPE	omit	1473	1	midL	midL
409.5	2.514	MERCURY	omit	2201	0	midR	midL
431.5	2.515	STAKE	easy	898	1	midR	midR
453.5	2.515	CYCLONE	hard	1914	1	farR	farR
475.6	2.513	BASKET	easy	1399	1	midR	midR
497.5	2.512	MALLET	hard	1920	0	midL	farR
519.5	2.515	PUTTY	omit	1396	1	midR	midR
541.5	2.516	PICK	hard	1948	1	midL	midL
563.5	2.518	RULER	easy	1140	1	farR	farR
585.5	2.516	PLANE	omit	964	1	farR	farR
607.5	2.516	BELL	omit	2092	1	farL	farL
629.5	2.513	DENT	hard	2074	1	farR	farR
651.5	2.515	RIDGE	easy	n/a	0	n/a	farL
