onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.005	COLUMN	targ_easy	1292	1	target	target
58.1	3.003	REGISTER	targ_hard	1118	1	target	target
90.1	3.001	LENS	targ_easy	1351	0	non-target	target
122	3.001	BRIDGE	targ_hard	1296	1	non-target	non-target
154	3.004	RAIL	lure_hard	1424	1	target	target
186	3.005	ELBOW	lure_hard	1729	0	target	non-target
218	3.005	LETTER	targ_hard	986	0	target	non-target
250	3.009	RIDGE	targ_easy	841	1	target	target
282	3.005	MAST	targ_easy	834	1	non-target	non-target
314	3.008	CYCLONE	targ_hard	1498	1	non-target	non-target
346	3.006	AXLE	lure_hard	995	0	target	non-target
378	3.004	TARGET	lure_hard	812	1	target	target
410	3.005	STAKE	targ_easy	1100	1	non-target	non-target
442	3.003	PICK	targ_hard	1421	0	target	non-target
474	3.007	MALLET	targ_hard	1996	1	target	target
506	3.002	COAL	targ_easy	2021	0	target	non-target
538	3	BRUSH	targ_easy	1022	1	target	target
570	3.004	DENT	targ_hard	1910	1	non-target	non-target
602	3.009	BASKET	targ_easy	1295	1	non-target	non-target
634	3.004	SUDS	lure_hard	2255	0	target	non-target
666	3.002	FOREST	targ_hard	1480	1	non-target	non-target
698	3.003	DIAL	targ_hard	953	1	target	target
730	3.002	RULER	targ_easy	1488	1	non-target	non-target
762	3.006	TAPE	targ_hard	1362	1	non-target	non-target
794	3.002	THREAD	targ_easy	1795	0	non-target	target
