onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.003	FOREST	targ_hard	1096	1	non-target	non-target
58.1	3	COLUMN	targ_easy	881	1	non-target	non-target
90.1	3.006	ELBOW	lure_hard	1194	0	target	non-target
122	3.002	BRUSH	targ_easy	1043	1	target	target
154	3.007	DIAL	targ_hard	868	1	non-target	non-target
186	3.01	CYCLONE	targ_hard	1276	1	target	target
218.1	3.01	BASKET	targ_easy	891	1	non-target	non-target
250.1	3.003	AXLE	lure_hard	1068	1	non-target	non-target
282.1	3.007	BRIDGE	targ_hard	988	1	non-target	non-target
314	3.007	STAKE	targ_easy	1110	1	target	target
346	3.006	SUDS	lure_hard	1310	1	non-target	non-target
378	3.007	RIDGE	targ_easy	910	1	non-target	non-target
410	3.01	LETTER	targ_hard	1102	1	target	target
442	3.005	PICK	targ_hard	1151	0	target	non-target
474	3.005	THREAD	targ_easy	1320	0	non-target	target
506	3.008	TARGET	lure_hard	1753	0	non-target	target
538	3.003	REGISTER	targ_hard	1737	0	target	non-target
570	3.001	LENS	targ_easy	1066	1	target	target
602	3.002	MALLET	targ_hard	1369	1	non-target	non-target
634	3.004	MAST	targ_easy	n/a	0	n/a	non-target
666	3.006	RULER	targ_easy	827	1	target	target
698	3.007	TAPE	targ_hard	1210	1	non-target	non-target
730	3.003	COAL	targ_easy	1531	1	non-target	non-target
762	3.008	RAIL	lure_hard	1011	1	non-target	non-target
794	3.009	DENT	targ_hard	1092	1	non-target	non-target
