onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.01	ISLAND	targ_easy	677	1	non-target	non-target
58	3.007	SANDPAPER	targ_hard	1120	1	target	target
90.1	3.005	ARCTIC	targ_hard	1199	0	non-target	target
122	3.009	BRAKE	targ_easy	778	1	target	target
154.1	3.002	FLAG	lure_hard	984	1	target	target
186.1	3.003	SHELL	targ_easy	729	1	non-target	non-target
218	3.001	EARTHQUAKE	targ_hard	722	1	non-target	non-target
250	3.001	ATLAS	lure_hard	1043	1	non-target	non-target
282	3.009	PANEL	targ_hard	820	1	non-target	non-target
314	3.001	MALLET	targ_easy	1068	1	target	target
346	3.005	COLLAR	lure_hard	803	1	target	target
378	3.005	PIANO	targ_hard	885	1	non-target	non-target
410	3.004	TEXTILE	targ_easy	662	1	target	target
442	3.009	DRILL	targ_hard	1141	1	non-target	non-target
474	3.002	APRON	targ_easy	759	1	non-target	non-target
506	3.002	PLANK	targ_easy	590	1	non-target	non-target
538	3.002	NAIL	targ_hard	751	1	target	target
570.1	3	POOL	lure_hard	798	1	non-target	non-target
602	3.001	SHIRT	targ_hard	1071	1	target	target
634	3.002	LETTER	targ_easy	480	1	target	target
666	3.003	PORTAL	targ_hard	864	1	non-target	non-target
698	3.003	CINDER	targ_easy	1137	1	target	target
730	3.009	CRAYON	lure_hard	921	0	target	non-target
762	3.007	SOCKET	targ_easy	707	1	non-target	non-target
794	3.006	CARD	targ_hard	1130	0	non-target	target
