onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3	TEXTILE	targ_easy	679	1	non-target	non-target
58.1	3.009	SANDPAPER	targ_hard	809	1	target	target
90	3.006	COLLAR	lure_hard	858	1	non-target	non-target
122	3.005	SHIRT	targ_hard	1203	1	target	target
154	3.004	LETTER	targ_easy	507	1	target	target
186	3.006	PANEL	targ_hard	1067	1	target	target
218	3.002	PLANK	targ_easy	812	1	target	target
250	3.008	DRILL	targ_hard	748	0	target	non-target
282	3.006	POOL	lure_hard	757	1	non-target	non-target
314	3.009	APRON	targ_easy	957	1	non-target	non-target
346	3.008	ISLAND	targ_easy	1406	1	non-target	non-target
378	3.001	CARD	targ_hard	894	1	non-target	non-target
410	3.008	EARTHQUAKE	targ_hard	1254	1	non-target	non-target
442	3.002	FLAG	lure_hard	n/a	0	n/a	target
474	3.01	BRAKE	targ_easy	1001	1	non-target	non-target
506	3.003	PORTAL	targ_hard	1120	1	target	target
538	3	CINDER	targ_easy	1065	1	non-target	non-target
570	3.002	CRAYON	lure_hard	n/a	0	n/a	non-target
602	3.002	SOCKET	targ_easy	1066	1	target	target
634	3.007	NAIL	targ_hard	875	0	non-target	target
666	3.008	ATLAS	lure_hard	778	1	non-target	non-target
698	3.005	PIANO	targ_hard	906	1	non-target	non-target
730	3.01	MALLET	targ_easy	788	1	non-target	non-target
762	3.008	SHELL	targ_easy	828	1	non-target	non-target
794	3.006	ARCTIC	targ_hard	917	1	target	target
