onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.003	PADDLE	targ_hard	1066	1	non-target	non-target
58	3.006	PENNY	lure_hard	998	1	target	target
90	3.001	CHART	targ_easy	1592	1	target	target
122	3.009	TAPE	lure_easy	727	1	target	target
154	3.003	NICKEL	lure_hard	1064	1	non-target	non-target
186	3.008	TERRACE	lure_easy	1072	1	non-target	non-target
218	3.007	STATUE	targ_hard	921	1	target	target
250	3.002	STAR	targ_easy	1026	1	target	target
282	3.002	SPOKE	targ_easy	914	1	non-target	non-target
314.1	3.006	SHOVEL	lure_hard	825	1	target	target
346	3.008	PASTEL	targ_hard	1356	1	target	target
378	3.007	ORNAMENT	lure_easy	1547	1	target	target
410	3.01	MACHINE	lure_hard	1275	1	non-target	non-target
442	3.002	FRONTIER	lure_easy	956	1	non-target	non-target
474	3.006	PUTTY	targ_easy	1068	1	non-target	non-target
506	3.007	SOAP	targ_hard	1524	0	target	non-target
538	3.007	TICKET	lure_hard	1213	1	target	target
570	3.004	SUMMIT	targ_easy	805	1	target	target
602	3.009	FRAME	targ_hard	1439	1	non-target	non-target
634	3.009	GIFT	lure_easy	952	1	non-target	non-target
666	3.008	WHEEL	lure_easy	952	1	target	target
698	3.009	SAIL	lure_hard	1144	1	non-target	non-target
730	3.004	RAMP	targ_hard	943	1	target	target
762	3.007	SCOUT	targ_easy	745	1	target	target
794	3.008	PAINT	targ_easy	1082	1	non-target	non-target
826	3.006	BADGE	lure_hard	1010	1	non-target	non-target
858	3.005	NOZZLE	targ_hard	1189	0	target	non-target
890	3.01	FORT	lure_easy	1003	1	target	target
922	3.004	TRACTOR	lure_hard	1107	1	target	target
954	3.009	DEPOT	targ_easy	972	1	non-target	non-target
986	3.003	PERMIT	lure_easy	924	1	non-target	non-target
1018	3.001	ATLAS	targ_hard	1165	1	non-target	non-target
