onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.008	PELLET	lure_hard	897	1	target	target
58	3	PLANET	targ_hard	691	1	target	target
90	3.008	COUNCIL	targ_easy	787	1	target	target
122	3.005	PORTAL	targ_easy	843	1	target	target
154	3.004	MOON	targ_hard	1148	0	non-target	target
186	3	FLEET	targ_hard	910	1	target	target
218	3.007	HIGHWAY	lure_hard	869	1	target	target
250	3.001	CARBON	targ_easy	950	1	non-target	non-target
282	3.001	DISTRICT	targ_easy	983	1	non-target	non-target
314	3.005	TRIPOD	targ_hard	814	1	target	target
346	3.008	SOCKET	targ_easy	952	1	target	target
378	3.009	LEVER	targ_hard	688	1	target	target
410	3	TIRE	targ_hard	1143	0	target	non-target
442	3.001	IODINE	lure_hard	712	0	target	non-target
474	3.004	JEEP	targ_easy	905	1	non-target	non-target
506	3.004	RELIC	targ_easy	954	1	target	target
538	3.001	EASEL	targ_hard	1154	1	non-target	non-target
570	3.006	TEXTILE	targ_easy	1731	1	target	target
602	3.01	PEBBLE	targ_hard	1395	1	target	target
634	3	MAGAZINE	lure_hard	1002	1	non-target	non-target
666	3.004	WIRE	targ_easy	812	1	target	target
698	3.001	DIRT	targ_hard	1188	1	target	target
730	3.008	RATTLE	lure_hard	989	1	non-target	non-target
762	3.005	JOURNAL	targ_hard	1293	1	target	target
794	3.005	BRIDGE	targ_easy	1229	1	target	target
