onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.009	FLOOD	lure_hard	1062	1	target	target
58.1	3.009	CLIFF	targ_hard	993	1	non-target	non-target
90	3.003	POLISH	lure_easy	1067	1	non-target	non-target
122	3.002	HOOD	targ_hard	1027	1	target	target
154.1	3.004	CLOSET	targ_hard	954	1	target	target
186	3.005	STAPLE	lure_hard	1380	1	target	target
218	3.008	LETTER	targ_easy	1093	1	non-target	non-target
250	3.008	MORNING	targ_easy	1021	1	non-target	non-target
282.1	3.002	ESSAY	targ_easy	1308	1	non-target	non-target
314	3.007	HOSE	targ_easy	1039	1	target	target
346	3.001	BRIDGE	lure_easy	1207	1	non-target	non-target
378.1	3.003	PEBBLE	lure_hard	1005	0	target	non-target
410	3.009	CARBON	targ_easy	1192	1	non-target	non-target
442	3.005	SWORD	targ_hard	1000	1	target	target
474	3.008	NOZZLE	lure_easy	1232	1	target	target
506	3.01	DRUM	lure_easy	1136	1	target	target
538	3.009	COURT	lure_hard	961	1	target	target
570	3.004	ELBOW	targ_easy	833	1	target	target
602	3.003	BRACELET	targ_easy	1058	1	non-target	non-target
634	3.006	RULER	lure_hard	1050	1	non-target	non-target
666	3.01	PARCEL	lure_hard	1500	1	non-target	non-target
698	3.008	TAPE	lure_easy	1059	1	non-target	non-target
730	3.004	BADGE	lure_easy	1269	1	target	target
762	3.005	EARTHQUAKE	lure_hard	1284	1	non-target	non-target
794	3.005	SPONGE	targ_hard	1076	1	non-target	non-target
826	3.008	RAMP	lure_easy	1030	1	target	target
858	3.006	ROPE	lure_easy	1070	1	non-target	non-target
890	3.003	PARADE	targ_hard	903	1	non-target	non-target
922	3.007	CAPSULE	lure_hard	951	1	non-target	non-target
954	3.006	PENDULUM	targ_easy	1320	1	target	target
986	3.002	PUDDLE	targ_hard	1015	1	non-target	non-target
1018	3.006	RAKE	targ_hard	1039	1	non-target	non-target
