onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.519	PLANK	easy	1639	1	farR	farR
35.6	2.512	PHONE	omit	1801	1	farL	farL
57.6	2.511	DRILL	hard	1809	1	farL	farL
79.6	2.513	MALLET	easy	962	1	farR	farR
101.6	2.514	WAGON	omit	2754608	1	farL	farL
123.6	2.516	SANDPAPER	hard	2446	1	midL	midL
145.6	2.515	PIER	omit	1246	1	midR	midR
167.6	2.518	LETTER	easy	2237	1	farL	farL
189.6	2.516	PIANO	hard	2742205	1	midR	midR
211.6	2.513	MACHINE	omit	n/a	0	n/a	farR
233.6	2.516	ISLAND	easy	1112	1	farR	farR
255.5	2.515	PORTAL	hard	n/a	0	n/a	farL
277.6	2.512	RAKE	omit	2563254	1	midL	midL
299.6	2.513	BRAKE	easy	n/a	0	n/a	midR
321.6	2.516	EARTHQUAKE	hard	2303	1	midL	midL
343.5	2.513	SHELL	easy	1751	1	midL	midL
365.5	2.511	POLE	omit	n/a	0	n/a	midR
387.5	2.513	SHIRT	hard	2056	1	midR	midR
409.5	2.516	CARD	hard	1163	1	farR	farR
431.5	2.516	FERRY	omit	n/a	0	n/a	farR
453.5	2.519	TEXTILE	easy	1282	1	midR	midR
475.5	2.518	ARCTIC	hard	1274	1	midL	midL
497.5	2.515	CINDER	easy	1855	1	midL	midL
519.5	2.515	COMPASS	omit	2220	1	midR	midR
541.5	2.513	QUILL	omit	1288	1	farR	farR
563.5	2.514	SOCKET	easy	2075	1	midR	midR
585.5	2.516	NAIL	hard	n/a	0	n/a	midR
607.5	2.516	PANEL	hard	n/a	0	n/a	farL
629.5	2.515	HOSE	omit	1245	1	midR	midR
651.5	2.528	APRON	easy	2338	1	farL	farL
