onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.514	EARTHQUAKE	hard	n/a	0	n/a	midL
35.6	2.516	PLANK	easy	1407	1	midR	midR
57.6	2.514	COMPASS	omit	n/a	0	n/a	farR
79.6	2.516	NAIL	hard	n/a	0	n/a	midL
101.6	2.516	APRON	easy	2084	1	farL	farL
123.6	2.514	PHONE	omit	1188	1	midL	midL
145.6	2.516	PANEL	hard	1360	1	midL	midL
167.6	2.513	ISLAND	easy	n/a	0	n/a	farL
189.6	2.512	POLE	omit	n/a	0	n/a	midR
211.6	2.514	MACHINE	omit	n/a	0	n/a	midR
233.6	2.516	PIANO	hard	n/a	0	n/a	midR
255.5	2.518	SHELL	easy	1984	1	farR	farR
277.5	2.514	PORTAL	hard	2254	1	midL	midL
299.5	2.516	LETTER	easy	1459	1	midL	midL
321.5	2.513	QUILL	omit	1905	1	farR	farR
343.6	2.512	HOSE	omit	1647	1	farR	farR
365.5	2.513	MALLET	easy	962	1	midL	midL
387.6	2.516	DRILL	hard	1912	0	midL	farL
409.5	2.516	RAKE	omit	n/a	0	n/a	farL
431.5	2.517	SHIRT	hard	1193	1	farR	farR
453.5	2.513	TEXTILE	easy	2418	1	farR	farR
475.5	2.515	WAGON	omit	1340	0	farL	midL
497.5	2.515	SOCKET	easy	n/a	0	n/a	midR
519.5	2.515	SANDPAPER	hard	n/a	0	n/a	farL
541.5	2.519	CINDER	easy	2117	1	farR	farR
563.5	2.514	CARD	hard	1877	1	farR	farR
585.5	2.511	FERRY	omit	n/a	0	n/a	midR
607.5	2.513	BRAKE	easy	n/a	0	n/a	midR
629.5	2.512	PIER	omit	1748	1	midL	midL
651.5	2.512	ARCTIC	hard	1348	1	midR	midR
