onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.511	ASHES	omit	2317	1	farR	farR
35.6	2.513	DISTRICT	easy	2261	1	midR	midR
57.6	2.516	PLANET	hard	n/a	0	n/a	midR
79.6	2.516	TRUCK	omit	2696726	0	midR	farL
101.6	2.513	EASEL	hard	2773434	0	farR	midL
123.6	2.516	RELIC	easy	2170	1	midL	midL
145.6	2.512	BARREL	omit	1862	1	farR	farR
167.6	2.514	SOCKET	easy	2416	1	midL	midL
189.6	2.516	PEBBLE	hard	2031	1	midL	midL
211.6	2.515	CARBON	easy	2574131	1	midL	midL
233.6	2.516	ANCHOR	omit	2256	1	farR	farR
255.6	2.515	FLEET	hard	n/a	0	n/a	farL
277.6	2.511	JEEP	easy	n/a	0	n/a	midR
299.6	2.516	DIRT	hard	1677	1	midR	midR
321.6	2.513	CANDLE	omit	1546	1	midR	midR
343.6	2.516	WIRE	easy	n/a	0	n/a	midR
365.6	2.512	SAND	omit	n/a	0	n/a	farL
387.6	2.512	JOURNAL	hard	2314	0	midL	farL
409.5	2.516	TIRE	hard	n/a	0	n/a	farL
431.5	2.511	BOLT	omit	2267	0	farR	midL
453.5	2.513	BRIDGE	easy	2157	1	midL	midL
475.5	2.512	DOME	omit	2492	1	farL	farL
497.6	2.514	COUNCIL	easy	1787	1	farL	farL
519.5	2.513	MOON	hard	1365	1	midL	midL
541.6	2.512	PORTAL	easy	2180	1	midL	midL
563.5	2.515	TRIPOD	hard	1673	1	midL	midL
585.5	2.512	RAINDROP	omit	2342	1	midL	midL
607.5	2.514	RAKE	omit	2599536	0	midL	farR
629.5	2.527	LEVER	hard	2045	1	farL	farL
651.5	2.512	TEXTILE	easy	2246	1	midR	midR
