onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.003	MOON	targ_hard	1097	1	target	target
58	3.008	JEEP	targ_easy	1379	1	target	target
90.1	3.003	IODINE	lure_hard	2362	1	non-target	non-target
122	3.009	HIGHWAY	lure_hard	1172	0	target	non-target
154	3.005	TIRE	targ_hard	1492	1	non-target	non-target
186	3.006	CARBON	targ_easy	1597	1	target	target
218.1	3.005	SOCKET	targ_easy	1445	1	target	target
250.1	3	JOURNAL	targ_hard	1549	1	non-target	non-target
282	3.002	DIRT	targ_hard	1431	1	target	target
314	3.007	MAGAZINE	lure_hard	1519	1	target	target
346	3.002	BRIDGE	targ_easy	1784	1	non-target	non-target
378	3.005	PORTAL	targ_easy	2096	0	target	non-target
410	3.003	EASEL	targ_hard	n/a	0	n/a	target
442	3.001	WIRE	targ_easy	849	1	target	target
474	3.009	LEVER	targ_hard	1418	1	non-target	non-target
506	3.004	PELLET	lure_hard	1618	1	non-target	non-target
538	3.003	PLANET	targ_hard	1402	1	non-target	non-target
570	3.001	DISTRICT	targ_easy	1379	1	target	target
602.1	3.007	TRIPOD	targ_hard	1354	1	target	target
634	3.002	COUNCIL	targ_easy	1492	1	target	target
666	3.005	RATTLE	lure_hard	1261	1	target	target
698	3.01	TEXTILE	targ_easy	1254	1	target	target
730	3.006	PEBBLE	targ_hard	965	1	target	target
762	3.004	FLEET	targ_hard	1349	1	target	target
794	3.01	RELIC	targ_easy	1471	1	non-target	non-target
