onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.006	PELLET	lure_hard	1325	1	target	target
58	3.004	BRIDGE	targ_easy	1343	1	target	target
90.1	3.001	DIRT	targ_hard	2142	1	non-target	non-target
122.1	3.006	MAGAZINE	lure_hard	1366	1	target	target
154	3.001	CARBON	targ_easy	1472	1	target	target
186	3.001	JOURNAL	targ_hard	1320	1	non-target	non-target
218	3.01	FLEET	targ_hard	1633	1	non-target	non-target
250	3.003	WIRE	targ_easy	1097	1	target	target
282	3.003	RELIC	targ_easy	1442	1	non-target	non-target
314.1	3.001	PEBBLE	targ_hard	1393	1	target	target
346	3.008	HIGHWAY	lure_hard	1811	0	target	non-target
378	3.008	PLANET	targ_hard	2027	1	non-target	non-target
410	3.004	PORTAL	targ_easy	1819	1	non-target	non-target
442	3.006	COUNCIL	targ_easy	1020	1	non-target	non-target
474	3.004	TIRE	targ_hard	2012	1	target	target
506	3.005	DISTRICT	targ_easy	1221	1	non-target	non-target
538	3.007	EASEL	targ_hard	1525	1	non-target	non-target
570	3.009	MOON	targ_hard	1549	0	target	non-target
602	3	IODINE	lure_hard	1590	1	target	target
634	3.006	TEXTILE	targ_easy	2086	1	non-target	non-target
666	3.004	SOCKET	targ_easy	1616	1	target	target
698	3.007	LEVER	targ_hard	1415	1	target	target
730	3.005	RATTLE	lure_hard	1736	1	target	target
762.1	3.008	TRIPOD	targ_hard	1559	0	target	non-target
794	3.008	JEEP	targ_easy	1234	1	target	target
