onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.516	TRIPOD	hard	1677	1	midL	midL
35.6	2.513	BOLT	omit	n/a	0	n/a	farR
57.6	2.515	WIRE	easy	1802	1	midR	midR
79.6	2.515	COUNCIL	easy	2203	1	farR	farR
101.6	2.515	BARREL	omit	2263	1	farL	farL
123.6	2.512	PEBBLE	hard	2137	1	farL	farL
145.6	2.513	CARBON	easy	1729	1	farR	farR
167.6	2.514	RAKE	omit	1835	1	farL	farL
189.6	2.516	JOURNAL	hard	2157	1	midL	midL
211.6	2.512	SAND	omit	1801	1	midR	midR
233.6	2.515	RELIC	easy	2617933	1	farR	farR
255.6	2.515	DIRT	hard	1878	1	midR	midR
277.5	2.515	ANCHOR	omit	2613535	1	midL	midL
299.5	2.515	PLANET	hard	1867	1	midL	midL
321.5	2.514	JEEP	easy	2620594	0	midL	farR
343.5	2.517	BRIDGE	easy	2183	1	midL	midL
365.5	2.512	MOON	hard	2538899	1	midR	midR
387.5	2.517	ASHES	omit	1432	1	farR	farR
409.5	2.516	FLEET	hard	2464	1	farR	farR
431.5	2.512	SOCKET	easy	2547332	1	farL	farL
453.5	2.519	DOME	omit	2328	0	midR	farL
475.5	2.512	TEXTILE	easy	1765	1	midR	midR
497.5	2.514	TRUCK	omit	n/a	0	n/a	farL
519.5	2.511	LEVER	hard	2788611	1	farR	farR
541.5	2.512	CANDLE	omit	1638	1	farR	farR
563.5	2.514	TIRE	hard	n/a	0	n/a	farL
585.5	2.513	PORTAL	easy	1648	1	midR	midR
607.5	2.513	RAINDROP	omit	1824	1	farR	farR
629.5	2.513	EASEL	hard	2369	0	midR	midL
651.5	2.512	DISTRICT	easy	1984	1	farR	farR
