onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3	GOLF	targ_easy	948	1	non-target	non-target
58.1	3.005	CORK	lure_hard	1126	1	target	target
90	3.008	PADDLE	targ_hard	1135	1	target	target
122	3.008	MOUNTAIN	targ_easy	704	1	non-target	non-target
154.1	3.001	STAPLE	lure_hard	1167	1	non-target	non-target
186	3.01	SUDS	targ_hard	1041	1	target	target
218.1	3.005	ROPE	targ_hard	792	1	target	target
250	3.004	PEBBLE	targ_easy	650	1	target	target
282	3.005	TERRACE	targ_hard	1130	1	non-target	non-target
314	3.007	ATOM	targ_easy	827	1	non-target	non-target
346	3.01	HOOD	lure_hard	963	1	target	target
378	3.009	CITY	targ_hard	883	1	target	target
410	3.009	TRIPOD	targ_easy	1132	1	non-target	non-target
442	3.001	ROCK	targ_easy	853	1	target	target
474	3	PARADE	targ_hard	949	1	target	target
506	3.008	SOCKET	lure_hard	789	1	target	target
538	3.002	ARMOR	targ_easy	1318	1	non-target	non-target
570	3.008	MACHINE	targ_hard	798	1	target	target
602	3.009	NOTE	targ_easy	654	1	target	target
634	3.01	ORNAMENT	targ_hard	919	1	non-target	non-target
666	3.007	LUMBER	lure_hard	927	1	non-target	non-target
698	3.004	PANEL	targ_hard	1088	1	non-target	non-target
730	3.01	RULER	targ_easy	624	1	non-target	non-target
762	3.008	CORD	targ_hard	953	1	target	target
794	3.01	PITCHFORK	targ_easy	681	1	non-target	non-target
