onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.514	BOAT	easy	1659	1	farR	farR
35.6	2.515	TEXTILE	omit	1513	1	farR	farR
57.6	2.515	MONSOON	hard	1176	1	midR	midR
79.6	2.513	PERMIT	omit	1308	1	farL	farL
101.6	2.511	PLUG	easy	n/a	0	n/a	midL
123.6	2.527	PHOTO	hard	1578	1	midL	midL
145.5	2.518	CHALK	omit	1630	0	farR	midR
167.6	2.514	LUMBER	easy	n/a	0	n/a	midL
189.6	2.513	HILL	hard	n/a	0	n/a	farR
211.6	2.515	CANDLE	easy	2347	0	midL	farR
233.6	2.516	PAGE	omit	1815	1	midR	midR
255.6	2.511	RAINDROP	hard	1278	1	farL	farL
277.6	2.512	MORNING	hard	1741	0	farR	farL
299.5	2.511	PENNY	easy	1069	1	midL	midL
321.6	2.527	TART	omit	1771	0	midR	farL
343.6	2.51	BUBBLE	omit	1707	1	midR	midR
365.6	2.512	CANOE	easy	667	1	farR	farR
387.6	2.513	PUDDLE	hard	2122	0	midL	farL
409.6	2.519	PIPE	omit	684	1	farR	farR
431.6	2.514	BATON	easy	1977	0	midR	farL
453.5	2.519	COLUMN	hard	1291	1	midL	midL
475.5	2.515	PUTTY	hard	1088	1	midL	midL
497.5	2.511	PANEL	easy	870	1	farR	farR
519.5	2.512	ESSAY	omit	1630	0	midL	farR
541.5	2.516	STAPLE	omit	2286	0	midL	midR
563.5	2.513	IRON	easy	1612	1	midR	midR
585.5	2.51	COUNCIL	hard	1482	0	farR	midR
607.5	2.515	POUCH	omit	1062	1	farL	farL
629.5	2.511	CARD	easy	594	1	farR	farR
651.5	2.51	PIANO	hard	737	1	midR	midR
