onset	duration	stim	cond	rt	acc	resp	cresp
26.2	3.001	SPONGE	lure_hard	1084	0	non-target	target
58	3.008	PISTOL	lure_easy	1578	1	non-target	non-target
90.1	3.005	LEAD	targ_hard	1341	1	non-target	non-target
122	3.003	MORNING	targ_easy	943	1	non-target	non-target
154.1	3.004	VAULT	targ_hard	974	1	non-target	non-target
186	3.01	QUILL	lure_hard	1031	1	target	target
218	3.01	CYCLONE	lure_easy	1166	1	non-target	non-target
250	3.003	PIPE	targ_easy	971	1	target	target
282.1	3.009	POLISH	lure_hard	890	0	target	non-target
314	3.004	TICKET	targ_easy	1126	1	non-target	non-target
346	3	PLUG	lure_easy	972	1	target	target
378	3.006	SACK	targ_hard	928	1	non-target	non-target
410	3.006	MOUNTAIN	lure_easy	1006	0	non-target	target
442	3.002	CITY	targ_hard	1307	1	non-target	non-target
474	3.002	BATON	lure_hard	971	1	target	target
506	3.008	AXLE	targ_easy	1305	1	non-target	non-target
538	3.002	TUNNEL	lure_hard	1390	0	target	non-target
570	3.009	RUNG	lure_easy	1162	1	non-target	non-target
602	3.007	FLAG	targ_easy	1239	1	target	target
634	3.005	ARCTIC	targ_hard	1025	1	non-target	non-target
666	3.004	ARROW	targ_hard	1184	0	target	non-target
698	3.01	HURDLE	lure_hard	971	1	non-target	non-target
730	3.003	COAT	targ_easy	993	1	non-target	non-target
762	3.005	CHROME	lure_easy	997	1	non-target	non-target
794	3.005	SPEAR	targ_hard	895	1	non-target	non-target
826	3.007	TIRE	targ_easy	1111	1	non-target	non-target
858	3.006	TARGET	lure_hard	1080	1	non-target	non-target
890	3.01	PENNY	lure_easy	1225	1	target	target
922	3.007	DEPOT	lure_hard	969	1	non-target	non-target
954	3.009	PICK	lure_easy	1160	1	target	target
986	3.009	SHOVEL	targ_easy	1084	1	target	target
1018	3.008	SIGN	targ_hard	1007	1	non-target	non-target
