onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.515	LEVER	hard	1125	1	farR	farR
35.6	2.515	ROAD	omit	1241	0	farL	farR
57.6	2.519	METAL	easy	1068	1	farR	farR
79.6	2.515	RAMP	omit	1069	1	midL	midL
101.6	2.517	NICKEL	easy	1972	0	midR	midL
123.6	2.516	BOAT	hard	1747	1	midR	midR
145.6	2.511	HANDLE	omit	997	1	farR	farR
167.6	2.512	GATEWAY	hard	1498	1	midR	midR
189.6	2.516	CHASM	easy	n/a	0	n/a	farR
211.5	2.516	GOLF	hard	1315	1	midR	midR
233.6	2.516	PANEL	omit	1796	1	farR	farR
255.6	2.516	MARKET	easy	1944	1	farR	farR
277.5	2.517	CORD	easy	742	1	farR	farR
299.5	2.519	CENT	omit	1679	1	midR	midR
321.5	2.517	MARBLE	hard	1090	1	midR	midR
343.5	2.517	MERCURY	omit	2103	0	farL	midR
365.5	2.519	RATTLE	hard	979	1	midR	midR
387.5	2.517	MATTRESS	easy	926	1	farL	farL
409.5	2.515	COURT	omit	1244	1	farL	farL
431.5	2.517	SHIELD	hard	1454	1	farL	farL
453.5	2.516	CAPITOL	easy	802	1	midR	midR
475.5	2.52	APRON	hard	1081	1	farR	farR
497.5	2.516	FRONTIER	omit	778	1	midR	midR
519.5	2.518	CART	easy	875	1	midR	midR
541.5	2.516	CHART	omit	795	1	midR	midR
563.5	2.515	BELL	easy	1222	1	farR	farR
585.5	2.517	ROPE	hard	1890	1	midL	midL
607.5	2.514	CURB	omit	1854	0	midR	midL
629.5	2.515	RECORD	hard	2560008	1	midL	midL
651.5	2.518	MATTER	easy	1381	1	midR	midR
