onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.004	STAPLE	lure_hard	770	1	target	target
58.1	3.002	SUDS	targ_hard	931	1	target	target
90	3.009	GOLF	targ_easy	1092	1	target	target
122	3.007	ATOM	targ_easy	1070	1	non-target	non-target
154	3.005	HOOD	lure_hard	965	1	non-target	non-target
186	3.004	PADDLE	targ_hard	1797	1	non-target	non-target
218	3.006	TRIPOD	targ_easy	967	1	non-target	non-target
250	3.004	ORNAMENT	targ_hard	975	1	non-target	non-target
282	3.01	ROCK	targ_easy	1111	1	target	target
314	3.003	PANEL	targ_hard	864	1	non-target	non-target
346	3.004	CORD	targ_hard	791	1	target	target
378	3.006	SOCKET	lure_hard	896	1	target	target
410	3.004	NOTE	targ_easy	906	1	non-target	non-target
442	3	PARADE	targ_hard	1266	0	target	non-target
474	3.002	PITCHFORK	targ_easy	698	1	non-target	non-target
506	3.003	MOUNTAIN	targ_easy	874	1	target	target
538	3.008	ROPE	targ_hard	899	1	non-target	non-target
570	3.006	MACHINE	targ_hard	988	1	target	target
602	3.01	RULER	targ_easy	796	1	target	target
634.1	3.008	TERRACE	targ_hard	1083	1	target	target
666	3.003	LUMBER	lure_hard	1036	1	non-target	non-target
698	3.007	ARMOR	targ_easy	1549	1	non-target	non-target
730	3.007	PEBBLE	targ_easy	1029	1	non-target	non-target
762	3.01	CORK	lure_hard	1590	1	non-target	non-target
794	3.004	CITY	targ_hard	1567	0	non-target	target
