onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.516	CITY	hard	1951	0	midR	farR
35.6	2.516	GOLF	easy	1829	1	farR	farR
57.6	2.515	SKETCH	omit	2162	1	farR	farR
79.6	2.513	ARMOR	easy	2538895	0	farR	farL
101.6	2.514	SOAP	omit	1562	0	midL	farL
123.6	2.513	ROPE	hard	995	1	farL	farL
145.6	2.512	PITCHFORK	easy	1883	0	midR	farL
167.6	2.516	FLOOD	omit	1903	1	midR	midR
189.6	2.515	TERRACE	hard	2582445	0	midR	midL
211.6	2.515	ATOM	easy	1581	1	farL	farL
233.6	2.516	SCREEN	omit	1180	1	farL	farL
255.6	2.518	PANEL	hard	1224	1	farR	farR
277.5	2.516	ORNAMENT	hard	2059	0	farR	midR
299.6	2.513	MOUNTAIN	easy	790	1	farR	farR
321.6	2.513	FRONTIER	omit	1127	1	midR	midR
343.5	2.516	TRIPOD	easy	881	1	farR	farR
365.5	2.519	CORD	hard	1586	1	farR	farR
387.6	2.513	FLAG	omit	1672	0	midR	midL
409.6	2.517	SUDS	hard	1536	0	farL	midR
431.5	2.516	RAVINE	omit	1539	1	midR	midR
453.5	2.513	ROCK	easy	1681	0	midL	farR
475.5	2.518	PADDLE	hard	1292	0	midR	farL
497.5	2.513	DIRT	omit	2218	0	midR	farL
519.5	2.516	PEBBLE	easy	1493	0	midR	farR
541.5	2.516	PARADE	hard	2044	0	midL	farL
563.5	2.513	RULER	easy	1969	0	farL	midR
585.5	2.512	PENDULUM	omit	970	0	farR	midR
607.5	2.513	NOTE	easy	1794	0	midR	farL
629.5	2.512	IODINE	omit	1890	1	farL	farL
651.5	2.513	MACHINE	hard	1731	1	midR	midR
