onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.007	CAPITOL	lure_hard	814	1	non-target	non-target
58	3.003	PLUG	lure_easy	763	1	non-target	non-target
90	3.01	BOTTLE	targ_easy	555	1	non-target	non-target
122.1	3.01	PELLET	targ_hard	667	1	target	target
154	3.01	DRILL	targ_easy	750	1	target	target
186	3.001	ISLAND	lure_easy	750	1	non-target	non-target
218.1	3.006	CHISEL	lure_hard	716	1	target	target
250	3.002	MATTER	targ_hard	438	1	target	target
282	3.006	RUNG	targ_easy	462	1	target	target
314	3.009	IODINE	lure_easy	464	1	target	target
346	3.001	PUPPET	targ_hard	455	1	target	target
378	3.002	PIN	lure_hard	1240	1	target	target
410	3.004	CYCLONE	targ_easy	649	1	non-target	non-target
442	3.007	NOVEL	targ_hard	705	1	target	target
474	3	HILL	lure_easy	873	1	non-target	non-target
506	3.004	DISC	lure_hard	498	1	target	target
538	3.005	RAKE	targ_hard	490	1	target	target
570	3.002	NICKEL	targ_easy	611	1	non-target	non-target
602	3.004	COURT	lure_easy	651	1	non-target	non-target
634	3.01	PICK	lure_hard	516	1	target	target
666	3.008	LETTER	targ_easy	445	1	target	target
698	3.007	WIRE	lure_easy	421	1	target	target
730	3.005	RAIL	targ_hard	622	1	non-target	non-target
762	3.003	MUZZLE	lure_hard	773	1	target	target
794	3.004	CENT	lure_easy	439	1	target	target
826	3.006	PARADE	targ_easy	431	1	target	target
858	3.01	POOL	lure_hard	687	1	non-target	non-target
890	3.007	EASEL	targ_hard	616	1	non-target	non-target
922	3.001	PICTURE	targ_easy	720	1	non-target	non-target
954	3.002	SUDS	lure_hard	609	1	non-target	non-target
986	3.003	BELL	targ_hard	497	1	target	target
1018	3.001	WALLET	lure_easy	610	1	target	target
