onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.004	MOUNTAIN	targ_hard	630	1	non-target	non-target
58	3.004	DIRT	lure_hard	511	1	target	target
90	3.008	HURDLE	targ_easy	593	1	target	target
122	3.008	TEXTILE	lure_hard	464	1	target	target
154	3.006	TAPE	targ_easy	737	1	non-target	non-target
186	3.004	PIANO	targ_hard	673	1	non-target	non-target
218	3.003	PARK	lure_hard	642	1	non-target	non-target
250	3.006	CAPSULE	targ_hard	570	1	non-target	non-target
282	3.003	ROPE	targ_easy	570	1	non-target	non-target
314	3.01	BUCKLE	targ_hard	635	1	non-target	non-target
346	3.002	PIPE	lure_hard	507	1	target	target
378	3.008	DOCK	targ_easy	748	1	non-target	non-target
410	3.008	LABEL	targ_easy	524	1	target	target
442	3.001	PLANK	targ_hard	700	1	non-target	non-target
474	3	PURSE	lure_hard	526	1	non-target	non-target
506	3.005	CITY	targ_hard	1117	1	non-target	non-target
538	3.009	DISTRICT	targ_easy	463	1	target	target
570	3.008	FLEET	targ_hard	440	1	target	target
602	3.002	ASHES	targ_easy	528	1	target	target
634	3.005	VAULT	targ_hard	543	1	non-target	non-target
666	3.009	CANOE	targ_easy	473	1	non-target	non-target
698	3.009	SOAP	targ_easy	513	1	non-target	non-target
730	3.007	PLANE	targ_hard	626	1	non-target	non-target
762	3.003	TARGET	targ_hard	770	1	non-target	non-target
794	3.007	ROAD	targ_easy	522	1	non-target	non-target
