onset	duration	stim	cond	rt	acc	resp	cresp
26.2	3.005	TEAR	lure_hard	1408	1	non-target	non-target
58	3.007	MARBLE	targ_hard	1031	0	non-target	target
90	3.006	CABLE	targ_easy	1007	1	non-target	non-target
122	3.01	SUBWAY	lure_easy	951	1	target	target
154	3.001	CARAVAN	targ_hard	1032	1	non-target	non-target
186	3.003	SIGN	lure_easy	1096	1	target	target
218	3.006	PUZZLE	targ_easy	1001	1	target	target
250	3.001	TIRE	lure_hard	1033	1	target	target
282	3.006	DOCK	lure_easy	898	1	target	target
314	3.003	SPONGE	targ_hard	1890	0	target	non-target
346	3.001	WHEEL	lure_hard	n/a	0	n/a	target
378	3.006	MOON	targ_easy	1107	1	non-target	non-target
410	3.002	CHROME	lure_easy	1083	1	non-target	non-target
442	3.008	PANEL	targ_hard	972	1	non-target	non-target
474	3.003	CIRCUIT	lure_hard	1188	1	target	target
506	3.009	FOAM	targ_easy	958	1	target	target
538	3.01	SKETCH	lure_easy	1014	1	non-target	non-target
570	3.009	CAPSULE	targ_easy	1246	1	target	target
602	3.009	FLAG	lure_hard	991	1	non-target	non-target
634	3.001	SCREEN	targ_hard	1296	1	target	target
666	3.003	SHIELD	lure_easy	1088	1	target	target
698	3.001	HOSE	targ_easy	993	1	non-target	non-target
730	3.009	LIGHT	lure_hard	1384	1	non-target	non-target
762	3.005	COUNCIL	targ_hard	1465	1	non-target	non-target
794	3.004	TIMBER	targ_hard	1106	1	target	target
826	3.005	MARKET	lure_hard	1105	1	non-target	non-target
858	3.006	TART	targ_easy	987	1	non-target	non-target
890	3.004	BADGE	lure_easy	924	1	non-target	non-target
922	3.006	LEAD	targ_hard	1435	1	target	target
954	3.003	HIGHWAY	lure_hard	1107	0	target	non-target
986	3.008	FLOOD	targ_easy	1164	1	target	target
1018	3.004	GALLERY	lure_easy	958	1	target	target
