onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.007	PUTTY	targ_hard	789	1	target	target
58.1	3.01	POLE	targ_hard	1094	1	target	target
90.1	3.009	TERRACE	targ_hard	1288	1	target	target
122.1	3.004	MORNING	targ_easy	944	1	target	target
154	3.009	PEBBLE	targ_hard	970	1	target	target
186	3.007	MERCURY	targ_hard	1059	1	target	target
218.1	3.002	CARAVAN	targ_hard	1066	1	target	target
250	3.003	BLIZZARD	targ_easy	1195	1	non-target	non-target
282	3.001	DRUM	targ_easy	980	1	non-target	non-target
314	3.001	JOURNAL	lure_hard	1268	0	non-target	target
346	3.007	DRAIN	targ_easy	1173	1	target	target
378	3.003	CURB	targ_easy	1085	1	target	target
410	3.009	CLOTH	targ_hard	1134	1	non-target	non-target
442	3.005	PILE	targ_easy	1142	1	non-target	non-target
474	3.007	LENS	targ_easy	1190	1	non-target	non-target
506	3.008	CHAIN	lure_hard	1079	1	target	target
538	3.002	FORT	targ_easy	719	1	target	target
570.1	3.009	PENDULUM	lure_hard	1430	1	non-target	non-target
602	3.006	MALLET	targ_hard	1160	1	non-target	non-target
634	3.008	FOREST	targ_hard	1233	1	non-target	non-target
666	3.001	PAINT	targ_easy	1025	1	non-target	non-target
698	3.005	PLANE	targ_easy	1105	1	non-target	non-target
730	3.002	PUZZLE	targ_hard	1178	1	non-target	non-target
762	3.002	RELIC	lure_hard	1651	1	target	target
794	3.002	TUNNEL	lure_hard	1443	1	non-target	non-target
