onset	duration	stim	cond	rt	acc	resp	cresp
14.2	2.511	NOZZLE	hard	1582	1	midL	midL
35.6	2.514	MATCH	easy	2255	0	midR	farR
57.6	2.516	DRAIN	omit	n/a	0	n/a	farR
79.6	2.516	CHASM	hard	1559	1	midL	midL
101.6	2.512	CRANE	omit	2130	0	farL	farR
123.6	2.513	HILL	easy	1105	1	farL	farL
145.6	2.515	DISTRICT	easy	1745	1	farR	farR
167.6	2.516	COURT	hard	1211	1	farR	farR
189.6	2.516	ANCHOR	omit	908	1	farR	farR
211.6	2.516	PARCEL	hard	2008	1	midL	midL
233.5	2.516	CONTRACT	omit	1296	0	farL	midR
255.6	2.511	BATON	easy	1410	1	farL	farL
277.6	2.512	LABEL	omit	2105	1	midL	midL
299.6	2.511	FIDDLE	hard	1692	0	midR	farL
321.6	2.516	PAINT	easy	1990	1	farR	farR
343.6	2.518	ISSUE	omit	1321	1	farL	farL
365.6	2.518	DUST	easy	1141	1	farL	farL
387.6	2.512	GIFT	hard	2360	1	farR	farR
409.5	2.516	SHELL	easy	2070	0	farL	farR
431.5	2.514	PARADE	hard	1539	0	midL	farR
453.5	2.516	ATOM	omit	2473	0	midL	farR
475.5	2.516	RAINBOW	omit	1843	0	midR	farR
497.5	2.516	BRACELET	easy	n/a	0	n/a	midR
519.5	2.514	SUMMIT	hard	2120	0	midL	farL
541.5	2.517	SUDS	hard	2236	1	farR	farR
563.5	2.517	ASHES	easy	2297	1	farL	farL
585.5	2.528	ROOT	omit	2288	1	midL	midL
607.5	2.515	CANDLE	hard	1835	0	midR	farR
629.5	2.511	APRON	easy	1413	1	midR	midR
651.5	2.513	MAST	omit	968	1	farR	farR
