onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.01	CURTAIN	lure_hard	1540	1	target	target
58	3.003	HANDLE	targ_hard	1897	1	target	target
90	3.009	CARD	lure_easy	1377	1	target	target
122	3.009	SAWDUST	targ_easy	1418	1	target	target
154	3.003	HURDLE	lure_easy	1362	1	target	target
186	3.008	STAPLE	targ_easy	1090	1	target	target
218	3	CHART	lure_hard	1187	1	non-target	non-target
250	3.009	MONSOON	targ_hard	1851	1	target	target
282	3.004	PICK	targ_easy	1484	1	target	target
314	3.005	CHALK	lure_hard	1476	1	target	target
346	3.007	PELLET	targ_hard	1245	1	target	target
378	3	TUNNEL	lure_easy	1285	1	non-target	non-target
410	3.002	DOCK	targ_easy	1309	1	non-target	non-target
442	3.002	SANDPAPER	targ_hard	1510	1	non-target	non-target
474	3.003	ARMOR	lure_hard	1206	1	target	target
506	3.005	LETTER	lure_easy	1544	1	non-target	non-target
538	3.004	JAIL	targ_hard	1120	1	target	target
570	3.004	MAST	targ_easy	1313	1	non-target	non-target
602	3.007	COUNCIL	lure_easy	1353	1	target	target
634	3.004	MATCH	lure_hard	1272	1	non-target	non-target
666	3.005	COURT	targ_hard	1281	1	non-target	non-target
698	3.001	CANDLE	targ_easy	1266	1	non-target	non-target
730	3.001	FOIL	lure_easy	1482	1	non-target	non-target
762	3.005	CAPITOL	lure_hard	1259	1	non-target	non-target
794	3.002	DISC	lure_hard	1195	1	non-target	non-target
826	3	POUCH	lure_easy	1124	1	non-target	non-target
858	3.008	ARROW	targ_easy	1253	1	target	target
890	3.007	MAGNET	targ_hard	1276	1	non-target	non-target
922	3.005	PUDDLE	targ_hard	1405	0	non-target	target
954	3.007	HAMMER	lure_hard	1174	1	non-target	non-target
986	3.009	CYCLONE	lure_easy	230	0	non-target	target
1018	3.008	HIGHWAY	targ_easy	1375	1	non-target	non-target
