onset	duration	stim	cond	rt	acc	resp	cresp
26.1	3.004	QUILL	targ_easy	1424	1	target	target
58	3.005	SUDS	lure_hard	1354	1	non-target	non-target
90.1	3.006	PLUG	targ_hard	1281	1	non-target	non-target
122	3.005	PEBBLE	lure_hard	1291	1	target	target
154	3.004	CONTRACT	targ_hard	1411	1	target	target
186	3.005	METAL	targ_easy	1260	1	target	target
218	3.004	RACKET	targ_easy	1260	1	non-target	non-target
250	3.006	TARGET	targ_hard	1140	1	target	target
282	3	SWORD	targ_easy	1317	1	target	target
314	3.004	LEVER	targ_hard	1111	1	target	target
346	3.004	GIFT	targ_hard	1310	1	target	target
378	3.004	RAINDROP	targ_easy	1431	1	non-target	non-target
410	3.01	MATTRESS	targ_hard	1206	1	target	target
442	3.003	WHEEL	targ_easy	1247	1	target	target
474	3.007	BELT	targ_easy	1473	1	non-target	non-target
506	3.001	WIRE	targ_hard	1673	1	target	target
538	3.008	BRASS	lure_hard	1506	1	non-target	non-target
570	3.006	LIGHT	targ_hard	1273	1	non-target	non-target
602	3.003	EARTHQUAKE	targ_easy	1522	1	non-target	non-target
634	3.008	BUBBLE	lure_hard	1530	1	target	target
666	3.01	SIGN	targ_hard	1155	0	target	non-target
698	3.004	CHROME	targ_easy	1412	1	target	target
730	3	PORTAL	lure_hard	1268	1	target	target
762	3.007	LEVEL	targ_hard	1213	1	target	target
794	3.008	STEEL	targ_easy	1485	1	non-target	non-target
