onset	duration	stim	cond	rt	acc	resp	cresp
14.1	2.516	GIFT	hard	1209	1	midR	midR
35.6	2.518	POLISH	omit	1728	1	farL	farL
57.6	2.513	STEEL	easy	2341	0	farR	midR
79.6	2.514	LEVEL	hard	1614	0	midL	midR
101.6	2.515	CHROME	easy	2093	1	farR	farR
123.6	2.516	BLIZZARD	omit	2337	0	farR	farL
145.6	2.514	SWORD	easy	2726693	1	farR	farR
167.6	2.515	RACK	omit	2286	1	farL	farL
189.5	2.516	TARGET	hard	n/a	0	n/a	midR
211.5	2.517	EARTHQUAKE	easy	2064	1	farR	farR
233.6	2.516	FLAG	omit	2123	1	farL	farL
255.5	2.512	PLUG	hard	1408	1	midR	midR
277.5	2.515	RACKET	easy	1724	1	midL	midL
299.5	2.513	AXLE	omit	1329	1	midR	midR
321.5	2.517	LEVER	hard	1372	1	farR	farR
343.5	2.512	RAINDROP	easy	1961	0	farL	midL
365.5	2.519	CONTRACT	hard	2309	1	midR	midR
387.6	2.513	SPEAR	omit	1386	1	midL	midL
409.5	2.517	WHEEL	easy	1107	1	midR	midR
431.5	2.514	PUPPET	omit	1482	1	farR	farR
453.5	2.512	MATTRESS	hard	891	1	midL	midL
475.5	2.516	TRACTOR	omit	1246	1	midL	midL
497.5	2.513	SIGN	hard	1124	1	midL	midL
519.5	2.513	METAL	easy	2004	0	farR	midL
541.5	2.516	BELT	easy	767	1	midL	midL
563.5	2.515	LIGHT	hard	1541	1	midL	midL
585.5	2.516	CORD	omit	1824	1	midR	midR
607.5	2.514	LEAD	omit	1309	1	farR	farR
629.5	2.512	WIRE	hard	1405	1	farR	farR
651.5	2.512	QUILL	easy	n/a	0	n/a	farL
