onset	duration	stim	cond	rt	acc	resp	cresp
14.3	2.514	BELT	easy	1265	1	midL	midL
35.6	2.512	PLUG	hard	1204	1	midL	midL
57.6	2.516	POLISH	omit	1480	1	midL	midL
79.6	2.517	SWORD	easy	1264	1	midL	midL
101.6	2.516	LEAD	omit	2144	1	farR	farR
123.6	2.518	LEVER	hard	1914	1	farR	farR
145.6	2.516	AXLE	omit	1849	1	farR	farR
167.5	2.515	LIGHT	hard	n/a	0	n/a	midR
189.6	2.515	EARTHQUAKE	easy	1954	1	midL	midL
211.6	2.512	WHEEL	easy	1103	1	midL	midL
233.5	2.518	TARGET	hard	1891	0	midR	farL
255.6	2.515	CORD	omit	1856	1	farR	farR
277.6	2.511	SPEAR	omit	2463	1	midR	midR
299.5	2.516	CHROME	easy	2538933	1	farR	farR
321.5	2.513	LEVEL	hard	1978	0	farR	farL
343.6	2.512	CONTRACT	hard	2496	1	midR	midR
365.6	2.511	TRACTOR	omit	1688	1	farR	farR
387.5	2.516	QUILL	easy	1714	1	midR	midR
409.6	2.516	WIRE	hard	1217	1	midL	midL
431.5	2.515	RAINDROP	easy	1474	1	midL	midL
453.5	2.518	RACK	omit	1446	1	midR	midR
475.5	2.517	METAL	easy	2054	0	midL	midR
497.5	2.518	BLIZZARD	omit	2014	0	midR	farR
519.5	2.515	GIFT	hard	1868	1	farL	farL
541.5	2.515	PUPPET	omit	1319	1	farR	farR
563.5	2.511	MATTRESS	hard	1356	1	midR	midR
585.5	2.512	STEEL	easy	2013	0	farR	midL
607.5	2.516	SIGN	hard	1293	1	midL	midL
629.5	2.516	FLAG	omit	2181	1	farL	farL
651.5	2.517	RACKET	easy	1120	1	farR	farR
